"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0144031038507819,0.0150972744449973,320,2.06166458129883,0,0,0.00186430406756699,0.00687871733680367,0.0119042256847024,0.00502551533281803,0.000525865762028843,262665920,798.887329101562,0,444.957336425781,262665472,0.022143229842186,0.00241935718804598,1.38610935211182,NA,NA,0.0109974555671215,0.00048451084876433,0.000845499627757818,0.0015318039804697,0.00182623462751508,0.00645772460848093,1.2787834405899,0.0242255330085754,0.0211368352174759,0.0382950752973557,0.0052178124897182,0.0184506420046091,3.33785101247486e-05,0.00078206934267655,0.00160390941891819,0.00333785102702677,NA,NA,200,0,0.726431131362915,-476.189422607422,0.0376971177756786,NA,0.000126020837342367,3.07192649349286e-38,0,1.40129846432482e-42,1.00000047683716,0.00111058435868472,0.0271997265517712,0.00149923400022089,0.0208965931087732,0,0,0.00134522025473416,0.309032410383224
"2",2,0.0189180970191956,0.0461249984800816,492.118682861328,1.76948165893555,0,0,0.00186430406756699,0.023039199411869,0.0339660160243511,0.010926834307611,0.00331309181638062,245922848,798.873901367188,0,396.58837890625,245922320,0.0388174653053284,0.00547120440751314,2.60099792480469,NA,NA,0.0177727714180946,0.00099490093998611,0.00285460450686514,0.00468018231913447,0.00612082565203309,0.00639418326318264,2.33052110671997,0.0497450716793537,0.0679701119661331,0.11700451374054,0.0174880716949701,0.018269095569849,0.000165677221957594,0.00313491723500192,0.00217061024159193,0.0165677238255739,NA,NA,200,0,1.51462042331696,-474.143371582031,0.115910962224007,NA,0.382763564586639,0.0191381722688675,0.382763534784317,0.0191381722688675,1.99997925758362,0.00286562228575349,0.0340406969189644,0.00492255110293627,0.00664360215887427,0.00192631443496794,0.00160336226690561,0.00476158130913973,0.962457299232483
"3",3,0.0268663074821234,0.0733336508274078,732.68994140625,1.67802596092224,0,0,0.00186430406756699,0.0346368253231049,0.0504290200769901,0.0157921928912401,0.00696166465058923,250191024,798.859130859375,0,433.281494140625,250190624,0.0628016218543053,0.00916221644729376,8.86026382446289,NA,NA,0.0294614192098379,0.00166789651848376,0.00440294481813908,0.00744089297950268,0.0120481550693512,0.00778031395748258,8.42782402038574,0.0833948105573654,0.106370471417904,0.186022222042084,0.0344232954084873,0.0222294759005308,0.000326650391798466,0.00554919382557273,0.0032863721717149,0.0326650403439999,NA,NA,200,0,6.76303386688232,-473.812927246094,0.18190735578537,NA,0.59296852350235,0.029648445546627,0.59296852350235,0.029648445546627,2.99995803833008,0.00663046212866902,0.0433567948639393,0.00730217900127172,0.0098913162946701,0.00559130311012268,0.00318461051210761,0.00746806338429451,0.786580264568329
"4",4,0.0398807972669601,0.118408553302288,1134.08142089844,1.61101484298706,0,0,0.00186430406756699,0.0529375337064266,0.0781080052256584,0.025170436128974,0.0117583125829697,247552352,798.997863769531,0,420.898071289062,247551856,0.0982874929904938,0.0148556036874652,7.85237646102905,NA,NA,0.0456243641674519,0.0028323233127594,0.00673048850148916,0.012014233507216,0.0212757028639317,0.00981037225574255,7.15456962585449,0.14161616563797,0.167017295956612,0.300355702638626,0.0607877224683762,0.0280296485871077,0.000546181516256183,0.00906717125326395,0.0052422508597374,0.0546181499958038,NA,NA,200,0,0.440404415130615,-475.289306640625,0.290592402219772,NA,1.01666736602783,0.050833348184824,1.01666736602783,0.050833348184824,3.99993681907654,0.0126986168324947,0.0540027618408203,0.0113069582730532,0.0153100965544581,0.0106942160055041,0.00554252602159977,0.0119091719388962,0.640777945518494
"5",5,0.0532091446220875,0.167338341474533,1772.09826660156,1.47153842449188,0,0,0.00186430406756699,0.0700780227780342,0.104119956493378,0.0340419784188271,0.0263881739228964,257427152,798.8134765625,0,407.905029296875,257426720,0.126361504197121,0.0304713845252991,12.7074155807495,NA,NA,0.0559355579316616,0.00395374558866024,0.00953900534659624,0.0169789139181376,0.0280555002391338,0.0118987876921892,11.7347259521484,0.197687327861786,0.236374735832214,0.424472630023956,0.0801585614681244,0.0339965671300888,0.00111382245086133,0.0162055771797895,0.013151983730495,0.111382246017456,NA,NA,200,0,8.08820724487305,-474.641632080078,0.401748657226562,NA,1.72184944152832,0.0860924646258354,1.72184944152832,0.0860924646258354,5.00000238418579,0.00471251178532839,0.0345754474401474,0.0175800882279873,0.0239233132451773,0.0183464735746384,0.00501198414713144,0.0164816677570343,0.497372061014175
"6",6,0.0756656154990196,0.238026112318039,2491.14819335938,1.47962117195129,0,0,0.00186430406756699,0.105119124054909,0.153584733605385,0.0484656058251858,0.0333373211324215,265547712,798.765380859375,0,405.941833496094,265547328,0.186960265040398,0.0416543371975422,21.0896244049072,NA,NA,0.0856114327907562,0.00761418230831623,0.0123864049091935,0.0241503939032555,0.0407556779682636,0.0164421778172255,19.6202831268311,0.380709201097488,0.321448862552643,0.603759407997131,0.116444803774357,0.0469776801764965,0.00146114453673363,0.0215236339718103,0.0186695586889982,0.146114453673363,NA,NA,200,0,12.9481992721558,-474.90283203125,0.584182322025299,NA,2.23968601226807,0.111984349787235,2.23968601226807,0.111984342336655,6.00006818771362,0.00651278207078576,0.0393525473773479,0.0246104747056961,0.0336305052042007,0.0306434221565723,0.00812358688563108,0.0239015091210604,0.488906651735306
"7",7,0.112897478044033,0.351441353559494,4055.24975585938,1.38442134857178,0,0,0.00186430406756699,0.149200230836868,0.22065569460392,0.0714555010199547,0.0485097207129002,247765824,799.094604492188,0,388.963317871094,247765488,0.268683701753616,0.0606214217841625,26.1950378417969,NA,NA,0.122014202177525,0.0116182528436184,0.0167351197451353,0.0356565229594707,0.0596953742206097,0.0229642204940319,24.031343460083,0.580912590026855,0.45519882440567,0.891413271427155,0.170558229088783,0.0656120777130127,0.00212593539617956,0.0316191501915455,0.026876337826252,0.212593540549278,NA,NA,200,0,12.372875213623,-472.841705322266,0.841114461421967,NA,5.13512086868286,0.256756097078323,5.13512086868286,0.256756097078323,7.00013399124146,0.00893260911107063,0.0446536466479301,0.0334106534719467,0.182876288890839,0.0447073616087437,0.0133092133328319,0.0343017727136612,0.125572428107262
"8",8,0.164879366755486,0.50939416885376,6359.02587890625,1.32108008861542,0,0,0.00186430406756699,0.211617007851601,0.314449965953827,0.102833040058613,0.0738414078950882,244307872,799.110595703125,0,392.308044433594,244307456,0.376986742019653,0.0900938659906387,39.5219993591309,NA,NA,0.169564664363861,0.0172694530338049,0.0226288102567196,0.0516809374094009,0.0844120010733604,0.0314308851957321,36.3960838317871,0.863472640514374,0.639437139034271,1.29202306270599,0.241177171468735,0.089802548289299,0.00319625134579837,0.0469040982425213,0.039993517100811,0.31962513923645,NA,NA,200,0,24.7198047637939,-472.657043457031,1.19691956043243,NA,7.5978422164917,0.379892081022263,7.5978422164917,0.379892081022263,8.00019931793213,0.0119391540065408,0.0501479953527451,0.0526724681258202,0.285144984722137,0.069944903254509,0.0202013589441776,0.0486915111541748,0.110227733850479
"9",9,0.239962458610535,0.738593995571136,9763.4169921875,1.28341281414032,0,0,0.00186430406756699,0.304228276014328,0.449921488761902,0.145693108439445,0.110882587730885,245569552,799.419799804688,0,348.957763671875,245569152,0.524969458580017,0.135456532239914,91.0654983520508,NA,NA,0.234350800514221,0.0253679901361465,0.0309766456484795,0.0749332681298256,0.116943940520287,0.0423968248069286,86.5642776489258,1.26839971542358,0.90422534942627,1.87333166599274,0.334125518798828,0.121133789420128,0.004831547383219,0.0702656731009483,0.0603593178093433,0.483154714107513,NA,NA,200,0,67.7249069213867,-465.715209960938,1.70394515991211,NA,11.1531648635864,0.55765825510025,11.1531648635864,0.557658314704895,9.00026512145996,0.015626298263669,0.0558476187288761,0.0807637870311737,0.438365072011948,0.107517197728157,0.0290929898619652,0.0691796466708183,0.0967157930135727
"10",10,0.363727003335953,1.12031996250153,14736.53515625,1.29582870006561,0,0,0.00186430406756699,0.4794642329216,0.697322964668274,0.217858523130417,0.157621636986732,251376496,799.464050292969,0,306.811248779297,251376096,0.780676066875458,0.201592832803726,80.9028091430664,NA,NA,0.357591539621353,0.0391784980893135,0.0442347973585129,0.113658919930458,0.16920094192028,0.0568113811314106,74.119499206543,1.95892477035522,1.33716022968292,2.84147310256958,0.483431220054626,0.162318199872971,0.00716028781607747,0.10654017329216,0.0878923758864403,0.716028809547424,NA,NA,200,0,20.5590686798096,-451.675354003906,2.5522677898407,NA,16.0375270843506,0.801876544952393,16.0375270843506,0.801876604557037,10.0003309249878,0.0201677959412336,0.0618477314710617,0.120806135237217,0.668773412704468,0.167547836899757,0.0451726913452148,0.103398390114307,0.0849486216902733
