"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0130450883880258,0.0127450292930007,320,1.92797982692719,0,0,4.36534520857242e-33,0.00238021835684776,0.00540013378486037,0.00301991682499647,0.000118926225695759,45957772,799.8837890625,0,231.43896484375,45957540,0.0157014839351177,0.00238707149401307,0.725153684616089,NA,NA,0.00640054419636726,0.000377916003344581,0.000552617886569351,0.00129309832118452,0.00121161679271609,0.00586569122970104,0.635737121105194,0.0188958030194044,0.0179724413901567,0.0323274396359921,0.00346176233142614,0.0167591106146574,1.19819205792737e-05,0.000764795870054513,0.0016102937515825,0.00119819212704897,NA,NA,200,0,0.143953889608383,-163.329025268555,0.0268963240087032,NA,5.44772747637172e-32,3.0880414258326e-38,0,1.40129846432482e-42,1.00000047683716,0.00111011555418372,0.0256569553166628,0.00150214019231498,0.0217958800494671,0,0,0.000905998167581856,0.269119262695312
"2",2,0.0168768204748631,0.0375890806317329,667.959899902344,1.26550507545471,0,0,4.36534520857242e-33,0.0124213993549347,0.0189521219581366,0.00653071934357285,0.000874239834956825,45060560,799.92431640625,0,190.033050537109,45060368,0.0238277986645699,0.00580792361870408,1.57929158210754,NA,NA,0.00773402862250805,0.000737819646019489,0.00175438600126654,0.00380955170840025,0.00398543570190668,0.0058065764605999,1.36639535427094,0.0368909761309624,0.0527893900871277,0.0952387303113937,0.0113869588822126,0.0165902115404606,9.00280647329055e-05,0.00384466513060033,0.00187323044519871,0.00900280568748713,NA,NA,200,0,0.972418248653412,-132.554595947266,0.0965624004602432,NA,0.355241030454636,0.0177620556205511,0.355241030454636,0.0177620556205511,1.99997925758362,0.00157008867245167,0.0297503862529993,0.00680906837806106,0.00901745725423098,0.000728113809600472,0.000354180403519422,0.00394091242924333,0.64392614364624
"3",3,0.0248360559344292,0.0614913366734982,1255.49975585938,1.05386412143707,0,0,4.36534520857242e-33,0.0218125972896814,0.0312637463212013,0.00945113785564899,0.00240914197638631,61941340,799.931518554688,0,204.922424316406,61941124,0.0388107188045979,0.0102284401655197,3.62095594406128,NA,NA,0.0141091933473945,0.00127072026953101,0.00268942210823298,0.00615504290908575,0.00862022861838341,0.00596611155197024,3.27643275260925,0.0635360330343246,0.0854354575276375,0.153876066207886,0.0246292222291231,0.0170460268855095,0.000252833357080817,0.00767904426902533,0.00229656207375228,0.0252833366394043,NA,NA,200,0,2.25148701667786,-151.990386962891,0.15229606628418,NA,0.615834355354309,0.0307917147874832,0.615834355354309,0.0307917147874832,2.99995803833008,0.00340287107974291,0.0356000401079655,0.0127292405813932,0.0169492363929749,0.00282944459468126,0.00062449206598103,0.00620517879724503,0.351998835802078
"4",4,0.0395450219511986,0.10754668712616,2210.65112304688,0.986972093582153,0,0,4.36534520857242e-33,0.036098126322031,0.052492581307888,0.0163944512605667,0.00414416706189513,53766744,799.899291992188,0,187.744705200195,53766544,0.0631232336163521,0.0178699102252722,5.70681190490723,NA,NA,0.0225293338298798,0.00260146101936698,0.00429944833740592,0.0108054056763649,0.0157574117183685,0.00713016930967569,5.09369373321533,0.130073070526123,0.14751735329628,0.27013498544693,0.0450211763381958,0.0203719083219767,0.000495852844323963,0.0143940709531307,0.00297998660244048,0.0495852828025818,NA,NA,200,0,2.52515435218811,-138.297653198242,0.261974424123764,NA,1.01883852481842,0.0509419403970242,1.01883852481842,0.0509419403970242,3.99993681907654,0.00656170677393675,0.0432114638388157,0.0224727857857943,0.029843783006072,0.00636873440816998,0.00114687089808285,0.0106387753039598,0.238916397094727
"5",5,0.0581195093691349,0.160393908619881,4232.97607421875,0.865431129932404,0,0,4.36534520857242e-33,0.0503010340034962,0.0736675262451172,0.023366492241621,0.010438047349453,36167700,799.827026367188,0,188.443222045898,36167500,0.0806119367480278,0.0402441062033176,8.768479347229,NA,NA,0.0263101439923048,0.00384115101769567,0.00620790990069509,0.0160306841135025,0.0198881383985281,0.0083339074626565,7.87615966796875,0.192057520151138,0.218860924243927,0.400767058134079,0.0568232536315918,0.0238111689686775,0.00116411643102765,0.0299903582781553,0.00908963102847338,0.11641164124012,NA,NA,200,0,4.80526828765869,-140.030288696289,0.369053483009338,NA,2.20592761039734,0.110296383500099,2.20592761039734,0.110296383500099,5.00000238418579,0.00339325307868421,0.0303183104842901,0.0429353564977646,0.0571451410651207,0.0117156263440847,0.00104962673503906,0.0149824749678373,0.145837545394897
"6",6,0.092733234167099,0.261697322130203,6697.30029296875,0.875421226024628,0,0,4.36534520857242e-33,0.0803723484277725,0.118984073400497,0.0386116616427898,0.0175178200006485,44653896,799.898498535156,0,219.519378662109,44653668,0.124336019158363,0.059374462813139,12.5723094940186,NA,NA,0.0393863283097744,0.00808183941990137,0.0091096106916666,0.026245778426528,0.0307162180542946,0.0107962423935533,11.0408782958984,0.404092043638229,0.352588027715683,0.656144380569458,0.0877606198191643,0.0308464076370001,0.00197528814896941,0.0448412895202637,0.0125578856095672,0.197528824210167,NA,NA,200,0,6.56717681884766,-157.822738647461,0.612721025943756,NA,2.98431277275085,0.14921560883522,2.98431253433228,0.14921560883522,6.00006818771362,0.00447285920381546,0.0338604673743248,0.068169005215168,0.090413510799408,0.0224930644035339,0.0018608468817547,0.0247858092188835,0.119409613311291
"7",7,0.149338528513908,0.40966072678566,11875.30078125,0.823436796665192,0,0,4.36534520857242e-33,0.122212491929531,0.180859297513962,0.0586468614637852,0.0265712775290012,53406636,799.854248046875,0,197.785339355469,53406424,0.185584425926208,0.0937674939632416,19.1812343597412,NA,NA,0.0586252100765705,0.0134536009281874,0.0132157932966948,0.0407593175768852,0.0452817790210247,0.0142487119883299,16.7715129852295,0.672679841518402,0.547975599765778,1.01898264884949,0.129376515746117,0.0407106168568134,0.00317669427022338,0.0715233162045479,0.019067483022809,0.317669421434402,NA,NA,200,0,10.4114789962769,-148.597854614258,0.936847925186157,NA,6.04945993423462,0.302473038434982,6.04946041107178,0.302473038434982,7.00013399124146,0.00582211744040251,0.0376262441277504,0.121267110109329,0.160316526889801,0.0359957218170166,0.00304057379253209,0.0377960205078125,0.0888786241412163
"8",8,0.257678121328354,0.714876413345337,20102.546875,0.839952826499939,0,0,4.36534520857242e-33,0.219476491212845,0.323895484209061,0.104419231414795,0.0422437824308872,57688376,799.927734375,0,188.495635986328,57688184,0.304553985595703,0.152030557394028,34.5654296875,NA,NA,0.0952140539884567,0.0237859003245831,0.021494772285223,0.0719129890203476,0.0728214383125305,0.0193248521536589,30.3643913269043,1.18929517269135,0.950643837451935,1.79782474040985,0.208061277866364,0.0552138462662697,0.00510033499449492,0.118164911866188,0.0287653058767319,0.510033488273621,NA,NA,200,0,22.1061038970947,-146.936004638672,1.59839642047882,NA,11.2132740020752,0.560663640499115,11.2132730484009,0.56066358089447,8.00019931793213,0.0076057855039835,0.0418712496757507,0.2035051882267,0.271384418010712,0.0650710836052895,0.00512148533016443,0.0643236488103867,0.0712084099650383
"9",9,0.435752302408218,1.19025301933289,35964.609375,0.814467370510101,0,0,4.36534520857242e-33,0.360084980726242,0.531337559223175,0.171252697706223,0.069944255053997,61730420,799.927551269531,0,160.691833496094,61730268,0.476154148578644,0.270571142435074,65.8515243530273,NA,NA,0.144184648990631,0.0402470007538795,0.034182284027338,0.119919218122959,0.111831225454807,0.0257897954434156,58.8708724975586,2.01235103607178,1.5771152973175,2.99797987937927,0.319517761468887,0.0736851170659065,0.00875687319785357,0.211570531129837,0.0502437390387058,0.87568736076355,NA,NA,200,0,42.2160301208496,-133.754013061523,2.62560176849365,NA,19.8530101776123,0.992650628089905,19.8530101776123,0.992650628089905,9.00026512145996,0.00983939785510302,0.0464136116206646,0.362972170114517,0.485522001981735,0.106676369905472,0.0082304123789072,0.105494849383831,0.0531176663935184
"10",10,0.757306754589081,2.07368493080139,62647.32421875,0.816282093524933,0,0,4.36534520857242e-33,0.602714121341705,0.896700501441956,0.293986439704895,0.114792793989182,46195496,799.932250976562,0,157.072509765625,46195336,0.778502941131592,0.456143736839294,106.775939941406,NA,NA,0.226981446146965,0.0709452778100967,0.0572904609143734,0.207949623465538,0.181629419326782,0.0337067507207394,94.6749267578125,3.54726576805115,2.73975920677185,5.19873905181885,0.518941104412079,0.0963050052523613,0.0147284967824817,0.361179530620575,0.0802357271313667,1.47284960746765,NA,NA,200,0,56.6079788208008,-129.892517089844,4.56939601898193,NA,32.4899787902832,1.62449944019318,32.4899787902832,1.62449944019318,10.0003309249878,0.0124305728822947,0.0509627945721149,0.635562002658844,0.845738768577576,0.196643650531769,0.0152925616130233,0.183353438973427,0.0398548021912575
