"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0135105503723025,0.0132297407835722,320,1.98131632804871,0,0,-131858939904,0.000304705172311515,0.00356754404492676,0.0032628383487463,-413678075904,44650784,799.900817871094,0,175.887634277344,44650632,0.0160142928361893,-499396411392,0.772701382637024,NA,NA,0.00601664837449789,0.000325095985317603,0.000796816311776638,0.00134232640266418,0.00118549598846585,0.00634790863841772,0.680363416671753,0.0162547994405031,0.0210011042654514,0.0335581637918949,0.00338713172823191,0.0181368812918663,-499396411392,0.000772168044932187,0.00164445675909519,-49939639959552,NA,NA,200,0,0.102835237979889,-41367782817792,0.0264740251004696,NA,-339939.6875,3.07781194704303e-38,0,1.40129846432482e-42,1.00000047683716,0.00110252073500305,0.0246647540479898,0.00150689412839711,0.0220010671764612,0,0,0.00090013473527506,0.288527309894562
"2",2,0.0164218544960022,0.0361016392707825,618.325256347656,1.31704604625702,0,0,-131858939904,0.0090432008728385,0.0150590464472771,0.006015844643116,-192320339968,44772384,799.942687988281,0,145.777130126953,44772240,0.0208644233644009,-307076235264,1.12583291530609,NA,NA,0.0044740829616785,0.000563283392693847,0.00248729111626744,0.00364456418901682,0.00341068953275681,0.00628451211377978,0.919497013092041,0.0281641818583012,0.059357076883316,0.0911140367388725,0.00974482670426369,0.0179557502269745,-307076235264,0.0038790125399828,0.0020762775093317,-30707623657472,NA,NA,200,0,0.467639803886414,-19232039370752,0.0942452326416969,NA,0.305590242147446,0.0152795109897852,0.305590242147446,0.0152795109897852,1.99997925758362,0.00135500764008611,0.0272449273616076,0.00685276975855231,0.00834739021956921,0.000726499245502055,0.000280605163425207,0.00391246471554041,0.752871513366699
"3",3,0.0208146125078201,0.048967182636261,1073.42517089844,1.03204786777496,0,0,-131858939904,0.0124595174565911,0.0189764015376568,0.00651687942445278,-130526756864,41133176,799.961791992188,0,156.237655639648,41133016,0.0273110531270504,-176549462016,1.73924326896667,NA,NA,0.0061471164226532,0.000713361718226224,0.00333658535964787,0.00487987184897065,0.00601440761238337,0.00621971115469933,1.46645748615265,0.0356680825352669,0.0801663994789124,0.121996760368347,0.0171840228140354,0.0177706051617861,-176549462016,0.00747798150405288,0.00270303408615291,-17654945415168,NA,NA,200,0,0.78836065530777,-13052668805120,0.134468391537666,NA,0.480395436286926,0.0240197815001011,0.480395436286926,0.0240197815001011,2.99995803833008,0.00170970882754773,0.0302569586783648,0.011932035908103,0.0144912376999855,0.00252955663017929,0.000435997499153018,0.0055768983438611,0.429204970598221
"4",4,0.0263048466295004,0.0672815293073654,1463.83422851562,0.986947953701019,0,0,-131858939904,0.0153837641701102,0.0238351430743933,0.00845138356089592,-66998984704,57782996,799.942199707031,0,134.977096557617,57782852,0.0344720706343651,-109550469120,2.76981043815613,NA,NA,0.00697970157489181,0.00121026672422886,0.00438164733350277,0.00660842191427946,0.00913667771965265,0.00615535536780953,2.39186573028564,0.060513362288475,0.108529433608055,0.165210455656052,0.0261047929525375,0.0175867322832346,-109550469120,0.0122158797457814,0.00355031318031251,-10955047043072,NA,NA,200,0,1.27650892734528,-6699898372096,0.183044269680977,NA,0.443140745162964,0.0221570357680321,0.443140745162964,0.0221570357680321,3.99993681907654,0.00274178618565202,0.0336638018488884,0.0159285217523575,0.0197617672383785,0.00527316378429532,0.000642462924588472,0.00758029287680984,0.311477988958359
"5",5,0.030415665358305,0.0840152204036713,2165.0009765625,0.870204150676727,0,0,-131858939904,0.0229088924825191,0.0341434627771378,0.0112345609813929,-44250345472,46136464,799.892578125,0,148.923736572266,46136320,0.0411967895925045,-65300094976,3.18869805335999,NA,NA,0.00853369291871786,0.00159550283569843,0.00556683540344238,0.0081439046189189,0.0110834576189518,0.00627339724451303,2.7196249961853,0.0797751694917679,0.136109486222267,0.203597441315651,0.031667023897171,0.0179239939898252,-65300094976,0.0199518259614706,0.00679376069456339,-6530009661440,NA,NA,200,0,1.40375149250031,-4425032663040,0.211224690079689,NA,0.839912116527557,0.0419956296682358,0.839912116527557,0.0419956333935261,5.00000238418579,0.00228070071898401,0.0258628930896521,0.0238257199525833,0.0292275100946426,0.0072298813611269,0.000448334991233423,0.00877895392477512,0.214640155434608
"6",6,0.0411846116185188,0.115854866802692,2849.49560546875,0.889356434345245,0,0,-131858939904,0.0341085232794285,0.0503136068582535,0.0162050779908895,-29139460096,37591944,799.949890136719,0,185.354721069336,37591760,0.0592848062515259,-36160651264,4.20415210723877,NA,NA,0.0149592952802777,0.00305501976981759,0.00684537179768085,0.0114232692867517,0.0157364048063755,0.00726544670760632,3.51884746551514,0.152750954031944,0.181253150105476,0.285581469535828,0.0449611581861973,0.0207584239542484,-36160651264,0.0261705704033375,0.00883244816213846,-3616064929792,NA,NA,200,0,1.86797916889191,-2913944731648,0.297854840755463,NA,1.04157209396362,0.0520786195993423,1.04157209396362,0.0520786195993423,6.00006818771362,0.00288277259096503,0.0284037087112665,0.0308939889073372,0.038468174636364,0.0103258779272437,0.000691808119881898,0.0123123843222857,0.188869029283524
"7",7,0.0506191588938236,0.136267021298409,3878.15649414062,0.823222577571869,0,0,-131858939904,0.031352486461401,0.0489500984549522,0.0175976287573576,-14682701824,57758956,799.96728515625,0,135.420333862305,57758808,0.0686065405607224,-21477928960,6.78314018249512,NA,NA,0.0149440905079246,0.00419203983619809,0.00782276038080454,0.0132119636982679,0.0194840840995312,0.00895159784704447,5.95059537887573,0.20960208773613,0.211398974061012,0.330298960208893,0.0556688085198402,0.0255759991705418,-21477928960,0.0356157347559929,0.0119031285867095,-2147792846848,NA,NA,200,0,3.7893545627594,-1468269854720,0.3553866147995,NA,1.56342172622681,0.0781710520386696,1.5634218454361,0.0781710520386696,7.00013399124146,0.00353470491245389,0.0308171100914478,0.0429786220192909,0.0523550882935524,0.0135752204805613,0.00102512037847191,0.0146659007295966,0.170978561043739
"8",8,0.0686499625444412,0.185180574655533,5430.408203125,0.811097025871277,0,0,-131858939904,0.0491871237754822,0.074115015566349,0.0249279271811247,-9228221440,45639480,799.78125,0,155.352111816406,45639316,0.0912389904260635,-12249693184,9.46407222747803,NA,NA,0.020942535251379,0.00628292700275779,0.00958166643977165,0.0179980900138617,0.0253748409450054,0.0110589265823364,8.31642246246338,0.314146310091019,0.279454857110977,0.449951857328415,0.0724995508790016,0.0315969288349152,-12249693184,0.0456713773310184,0.0152995437383652,-1224969289728,NA,NA,200,0,4.60311317443848,-922821918720,0.464441239833832,NA,2.11978030204773,0.105989076197147,2.11978030204773,0.105989083647728,8.00019931793213,0.00435514934360981,0.0335005223751068,0.0596942603588104,0.0733104720711708,0.0199462845921516,0.00126466399524361,0.0190815813839436,0.150850564241409
"9",9,0.0945792198181152,0.254188388586044,7786.71630859375,0.79328715801239,0,0,-131858939904,0.0709368735551834,0.106088988482952,0.0351520553231239,-4744965632,47787412,799.929931640625,0,133.120223999023,47787260,0.122795142233372,-7504733184,12.7894287109375,NA,NA,0.029799111187458,0.00796791631728411,0.0122526418417692,0.0248969476670027,0.0335218235850334,0.0143567034974694,11.2548923492432,0.398395776748657,0.376922249794006,0.622423112392426,0.0957766473293304,0.0410191528499126,-7504733184,0.0639486834406853,0.0205584354698658,-750473314304,NA,NA,200,0,6.70465517044067,-474496598016,0.625421643257141,NA,4.61616182327271,0.230808034539223,4.61616182327271,0.230808049440384,9.00026512145996,0.00547461118549109,0.0367106385529041,0.0873969495296478,0.105120614171028,0.0272960867732763,0.00166225153952837,0.025607667863369,0.136573627591133
"10",10,0.123919248580933,0.31807205080986,11114.341796875,0.751225471496582,0,0,-131858939904,0.0754282772541046,0.117119289934635,0.0416910946369171,-3132018432,42431052,799.930053710938,0,164.054473876953,42430896,0.1475909948349,-4372712960,15.4593572616577,NA,NA,0.0316540151834488,0.0107359886169434,0.0146396206691861,0.031136617064476,0.0419883094727993,0.017436446622014,13.5078983306885,0.536799609661102,0.466459840536118,0.778414905071259,0.119966588914394,0.0498184226453304,-4372712960,0.0842382237315178,0.0272078514099121,-437271298048,NA,NA,200,0,6.65695571899414,-313202016256,0.780981540679932,NA,4.58106851577759,0.229053407907486,4.58106851577759,0.229053393006325,10.0003309249878,0.00661503570154309,0.0395970717072487,0.12335392832756,0.150043576955795,0.0388330519199371,0.00249574542976916,0.031916718930006,0.116209216415882
