"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0155965853482485,0.0737922787666321,320,2.15881395339966,0,0,7.72501935902765e-30,0.013830479234457,0.0198452025651932,0.00601472146809101,0.00379043072462082,262665920,798.914123535156,0,431.720703125,262665488,0.0324081368744373,0.00130512658506632,1.04094874858856,NA,NA,0.0169239267706871,0.000583657645620406,0.00231287581846118,0.00174865557346493,0.00438127107918262,0.00645775021985173,0.856515347957611,0.0291828699409962,0.0805655494332314,0.0437163785099983,0.012517916969955,0.0184507165104151,0.00032601470593363,0.000888495880644768,9.06160494196229e-05,0.0326014719903469,NA,NA,200,0,0.306744158267975,-475.451995849609,0.039533942937851,NA,8.55603766702508e-29,3.08692038706114e-38,0,1.40129846432482e-42,1.00000047683716,0.00358185195364058,0.0310856159776449,0.00149922422133386,0.0208966638892889,0,0,0.00148511223960668,0.309032589197159
"2",2,0.0217630714178085,0.0828122496604919,531.281616210938,1.8029842376709,0,0,7.72501935902765e-30,0.0295714791864157,0.0429514907300472,0.0133800143375993,0.00500394031405449,245922848,798.892395019531,0,388.749847412109,245922352,0.0527302585542202,0.005550526548177,3.66500568389893,NA,NA,0.0255288146436214,0.00141766096930951,0.00377179076895118,0.00558749167248607,0.0100302863866091,0.0063942102715373,3.30239248275757,0.0708830803632736,0.105116069316864,0.139687225222588,0.0286579634994268,0.0182691738009453,0.000247758900513873,0.00401693675667048,0.00128583097830415,0.0247758906334639,NA,NA,200,0,2.86952495574951,-473.415405273438,0.134130626916885,NA,0.461089551448822,0.0230544656515121,0.4610895216465,0.023054463788867,1.99997925758362,0.007937366142869,0.0426610484719276,0.00531428959220648,0.0071723023429513,0.00192631443496794,0.00375897204503417,0.00549037056043744,0.891514301300049
"3",3,0.0323310233652592,0.102097734808922,910.871520996094,1.59605550765991,0,0,7.72501935902765e-30,0.0439597479999065,0.063844233751297,0.0198844857513905,0.00967835914343596,250191024,798.87744140625,0,426.883697509766,250190624,0.0816511288285255,0.010911026969552,7.66969442367554,NA,NA,0.0393370278179646,0.00242995144799352,0.00512205623090267,0.00918447505682707,0.017797265201807,0.00778035400435328,7.1100115776062,0.121497586369514,0.135494291782379,0.229611724615097,0.0508493334054947,0.0222295820713043,0.0004416924493853,0.00720731634646654,0.00326201878488064,0.0441692471504211,NA,NA,200,0,4.76850986480713,-473.418365478516,0.218519955873489,NA,0.887454271316528,0.044372733682394,0.887454271316528,0.044372733682394,2.99995803833008,0.0155930975452065,0.0558490976691246,0.00907798483967781,0.0122967688366771,0.00641372613608837,0.00610627140849829,0.00893257930874825,0.632715344429016
"4",4,0.0492991507053375,0.148032620549202,1501.12121582031,1.51211202144623,0,0,7.72501935902765e-30,0.0657132416963577,0.097162127494812,0.0314488932490349,0.0160090588033199,247552352,799.011535644531,0,415.427429199219,247551872,0.123362123966217,0.0189042538404465,11.3436698913574,NA,NA,0.0577433407306671,0.00411503342911601,0.00747110368683934,0.0150193348526955,0.0292028971016407,0.00981041509658098,10.4539566040039,0.205751687288284,0.197011858224869,0.375483304262161,0.0834368616342545,0.0280297622084618,0.00072838895721361,0.0117605552077293,0.00641530938446522,0.0728388950228691,NA,NA,200,0,4.93706130981445,-474.902709960938,0.355398118495941,NA,1.46921980381012,0.0734609812498093,1.46921968460083,0.0734609812498093,3.99993681907654,0.0269029662013054,0.0694412142038345,0.0149663984775543,0.020265132188797,0.0144360307604074,0.00950089190155268,0.0145014049485326,0.484103202819824
"5",5,0.066461980342865,0.209010735154152,2453.95532226562,1.38153231143951,0,0,7.72501935902765e-30,0.0858142524957657,0.127239987254143,0.0414257049560547,0.0381854437291622,257427152,798.831848144531,0,402.615295410156,257426720,0.145233139395714,0.0446620918810368,16.4381980895996,NA,NA,0.0646687522530556,0.0055974000133574,0.0105808330699801,0.0212062150239944,0.0312811136245728,0.0118988351896405,15.2262315750122,0.279870063066483,0.27856832742691,0.530155062675476,0.0893746092915535,0.033996693789959,0.00157351710367948,0.0219859424978495,0.0211026314646006,0.157351702451706,NA,NA,200,0,11.1849117279053,-474.052185058594,0.48622715473175,NA,2.50564098358154,0.125282034277916,2.50564098358154,0.125282019376755,5.00000238418579,0.00471253460273147,0.0345754995942116,0.0243444480001926,0.0331283807754517,0.0260543078184128,0.00663861725479364,0.0198607891798019,0.359173446893692
"6",6,0.0980411767959595,0.308385074138641,3463.20581054688,1.42245101928711,0,0,7.72501935902765e-30,0.133903831243515,0.195150777697563,0.0612470172345638,0.0437712594866753,265547712,798.798950195312,0,396.480834960938,265547328,0.222684934735298,0.0573428347706795,27.6703414916992,NA,NA,0.103399388492107,0.0104022491723299,0.0141454003751278,0.0312876850366592,0.0470079742372036,0.0164422336965799,25.7940635681152,0.520112633705139,0.392687559127808,0.782191872596741,0.134308502078056,0.0469778254628181,0.00191816024016589,0.0279097724705935,0.0275149028748274,0.191816031932831,NA,NA,200,0,17.125452041626,-473.941192626953,0.733487606048584,NA,3.13697481155396,0.156848803162575,3.13697481155396,0.156848803162575,6.00006818771362,0.00651281094178557,0.0393526032567024,0.0342135950922966,0.0467532798647881,0.0445569381117821,0.011526120826602,0.029873738065362,0.351680874824524
"7",7,0.148194953799248,0.462437957525253,5635.654296875,1.34523105621338,0,0,7.72501935902765e-30,0.192821010947227,0.284497320652008,0.0916761979460716,0.0657371804118156,247765824,799.129577636719,0,375.511444091797,247765520,0.323535859584808,0.0835757255554199,35.0358734130859,NA,NA,0.148656740784645,0.0158995427191257,0.0195100605487823,0.0469161570072174,0.0695890560746193,0.0229642875492573,32.2359733581543,0.794977068901062,0.567583322525024,1.17290413379669,0.198825865983963,0.0656122863292694,0.00286397221498191,0.0421892926096916,0.0385224595665932,0.286397218704224,NA,NA,200,0,17.8132362365723,-471.203643798828,1.07327008247375,NA,6.87478446960449,0.343739300966263,6.87478446960449,0.343739300966263,7.00013399124146,0.00893265102058649,0.0446537211537361,0.0464313887059689,0.25414651632309,0.0635960474610329,0.0186504106968641,0.0435879901051521,0.0903584584593773
"8",8,0.218285441398621,0.677331626415253,8761.2099609375,1.29920434951782,0,0,7.72501935902765e-30,0.277255773544312,0.410705864429474,0.133450150489807,0.100745752453804,244307872,799.165893554688,0,373.469940185547,244307488,0.459868907928467,0.123752519488335,49.5980644226074,NA,NA,0.209637925028801,0.0238715708255768,0.0268272720277309,0.0687167197465897,0.0993845015764236,0.0314309746026993,45.5033340454102,1.19357848167419,0.809474170207977,1.7179182767868,0.283955782651901,0.0898028016090393,0.00434631947427988,0.063268780708313,0.0561374202370644,0.434631943702698,NA,NA,200,0,30.7235527038574,-470.663208007812,1.55004453659058,NA,10.081446647644,0.504072308540344,10.0814456939697,0.504072308540344,8.00019931793213,0.0119391996413469,0.0501480549573898,0.0725700259208679,0.39286133646965,0.100790560245514,0.028362900018692,0.0628165081143379,0.0800052657723427
"9",9,0.320178210735321,0.990833640098572,13484.681640625,1.26592683792114,0,0,7.72501935902765e-30,0.4019396007061,0.592972457408905,0.191032916307449,0.152285680174828,245569552,799.484924316406,0,325.842437744141,245569184,0.646500527858734,0.186775103211403,121.119407653809,NA,NA,0.292487800121307,0.0352024063467979,0.0372826755046844,0.100520752370358,0.138609990477562,0.0423969030380249,115.169494628906,1.76012063026428,1.15961849689484,2.51301956176758,0.396028578281403,0.121134057641029,0.00665455963462591,0.0961405262351036,0.0839800164103508,0.665455937385559,NA,NA,200,0,94.5506362915039,-461.101440429688,2.23019218444824,NA,15.1055326461792,0.755276620388031,15.1055326461792,0.755276620388031,9.00026512145996,0.0156263504177332,0.0558476895093918,0.111546397209167,0.605445146560669,0.153905436396599,0.040716364979744,0.0902294144034386,0.0700260028243065
"10",10,0.491501539945602,1.52211689949036,20376.927734375,1.28566133975983,0,0,7.72501935902765e-30,0.643265306949615,0.933432698249817,0.290167421102524,0.21537458896637,251376496,799.501220703125,0,278.865753173828,251376096,0.983090102672577,0.278075873851776,106.616157531738,NA,NA,0.457546025514603,0.0549803338944912,0.0542797520756721,0.154417663812637,0.205054879188538,0.0568115040659904,97.5145263671875,2.74901652336121,1.7439798116684,3.86044144630432,0.585871040821075,0.162318661808968,0.00990859139710665,0.147223353385925,0.120943941175938,0.990859091281891,NA,NA,200,0,28.2694149017334,-444.289764404297,3.39913249015808,NA,21.7882099151611,1.08941090106964,21.7882118225098,1.08941078186035,10.0003309249878,0.020167862996459,0.0618478059768677,0.167044535279274,0.924745738506317,0.241049155592918,0.0640935748815536,0.137273073196411,0.061434730887413
