"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0135105503723025,0.0132297407835722,320,1.98131597042084,0,0,-4.93685292952695e-31,0.000304700981359929,0.00356754404492676,0.00326284463517368,6.33434028713964e-05,44650784,799.900817871094,0,175.887634277344,44650632,0.0176142863929272,0.000836791296023875,0.777272760868073,NA,NA,0.00601664464920759,0.000325095985317603,0.000796816311776638,0.00134232640266418,0.00278549594804645,0.00634790724143386,0.680363297462463,0.0162547994405031,0.0210011024028063,0.0335581675171852,0.00795855931937695,0.018136877566576,7.10243057255866e-06,0.000772168044932187,5.75207850488368e-05,0.000710243068169802,NA,NA,200,0,0.102835237979889,-114.951026916504,0.0219025909900665,NA,-9.1705840071491e-30,3.06660155932843e-38,0,1.40129846432482e-42,1.00000047683716,0.00202586897648871,0.0246647540479898,0.00150689412839711,0.0220010671764612,0,0,0.00090013473527506,0.288527250289917
"2",2,0.0164218544960022,0.0361016355454922,618.325256347656,1.31704604625702,0,0,-4.93685292952695e-31,0.00904320273548365,0.0150590464472771,0.00601584417745471,0.000585278146900237,44772384,799.942687988281,0,145.777130126953,44772240,0.0223684199154377,0.00454058405011892,1.13012945652008,NA,NA,0.0044740829616785,0.000563283392693847,0.00248729065060616,0.00364456395618618,0.00491468794643879,0.00628451025113463,0.919496297836304,0.0281641818583012,0.0593570731580257,0.0911140367388725,0.0140419658273458,0.0179557465016842,6.63980899844319e-05,0.0038790125399828,0.000595173332840204,0.00663980888202786,NA,NA,200,0,0.467639803886414,-92.5685043334961,0.0942452251911163,NA,0.305590242147446,0.0152795109897852,0.305590242147446,0.0152795109897852,1.99997925758362,0.0025978593621403,0.0272449273616076,0.00685276975855231,0.00834739021956921,0.000726499245502055,0.000376605137716979,0.00391246471554041,0.75287127494812
"3",3,0.0208146125078201,0.048967182636261,1073.42517089844,1.03204786777496,0,0,-4.93685292952695e-31,0.012459515593946,0.0189763996750116,0.00651687663048506,0.00164240959566087,41133176,799.961791992188,0,156.237655639648,41133016,0.0287248101085424,0.00900131929665804,1.74328255653381,NA,NA,0.00614711595699191,0.000713361718226224,0.00333658535964787,0.00487987184897065,0.00742816552519798,0.00621970929205418,1.46645748615265,0.0356680825352669,0.0801663920283318,0.121996745467186,0.0212233308702707,0.0177705995738506,0.000200733862584457,0.00747798150405288,0.00132260366808623,0.0200733859091997,NA,NA,200,0,0.788360595703125,-105.462417602539,0.134468391537666,NA,0.480395436286926,0.0240197815001011,0.480395436286926,0.0240197815001011,2.99995803833008,0.00337637355551124,0.0302569586783648,0.011932035908103,0.0144912376999855,0.00252955663017929,0.000526237476151437,0.0055768983438611,0.429204821586609
"4",4,0.0263048466295004,0.0672815293073654,1463.83422851562,0.986947894096375,0,0,-4.93685292952695e-31,0.0153837623074651,0.0238351430743933,0.00845138356089592,0.0024570154491812,57782996,799.942199707031,0,134.977096557617,57782852,0.035801000893116,0.0148518737405539,2.77360701560974,NA,NA,0.00697970110923052,0.00121026672422886,0.00438164733350277,0.00660842191427946,0.0104656117036939,0.00615535350516438,2.39186525344849,0.060513362288475,0.108529433608055,0.165210455656052,0.029901746660471,0.0175867266952991,0.000372908136341721,0.0122158797457814,0.00226308638229966,0.0372908152639866,NA,NA,200,0,1.27650892734528,-90.8092651367188,0.183044269680977,NA,0.443140745162964,0.0221570357680321,0.443140745162964,0.0221570357680321,3.99993681907654,0.00440845359116793,0.0336638018488884,0.0159285217523575,0.0197617672383785,0.00527316331863403,0.000727288424968719,0.00758029287680984,0.311477899551392
"5",5,0.030415665358305,0.0840152204036713,2165.0009765625,0.870204150676727,0,0,-4.93685292952695e-31,0.0229088924825191,0.0341434627771378,0.0112345609813929,0.00487641338258982,46136464,799.892578125,0,148.923736572266,46136320,0.0411967858672142,0.0274885557591915,3.18869805335999,NA,NA,0.00853369198739529,0.00159550283569843,0.00556683540344238,0.0081439046189189,0.0110834557563066,0.00627339538186789,2.7196249961853,0.0797751694917679,0.136109486222267,0.203597441315651,0.0316670201718807,0.0179239884018898,0.000701556156855077,0.0199518259614706,0.00683517334982753,0.0701556131243706,NA,NA,200,0,1.40375149250031,-98.5084228515625,0.211224690079689,NA,0.839912116527557,0.0419956296682358,0.839912116527557,0.0419956333935261,5.00000238418579,0.00228069978766143,0.0258628856390715,0.0238257199525833,0.0292275100946426,0.0072298813611269,0.000448334991233423,0.00877895392477512,0.214640095829964
"6",6,0.0411846116185188,0.115854866802692,2849.49560546875,0.889356315135956,0,0,-4.93685292952695e-31,0.0341085232794285,0.0503136068582535,0.0162050779908895,0.00738634960725904,37591944,799.949890136719,0,185.354721069336,37591760,0.0592848025262356,0.0361226797103882,4.20415258407593,NA,NA,0.0149592943489552,0.00305501976981759,0.00684537179768085,0.0114232692867517,0.0157364029437304,0.00726544484496117,3.51884770393372,0.152750954031944,0.181253150105476,0.285581469535828,0.0449611507356167,0.020758418366313,0.00107857142575085,0.0261705704033375,0.00887353625148535,0.107857145369053,NA,NA,200,0,1.86797916889191,-112.619354248047,0.297854870557785,NA,1.04157209396362,0.0520786195993423,1.04157209396362,0.0520786195993423,6.00006818771362,0.00288277142681181,0.0284037012606859,0.0308939889073372,0.038468174636364,0.0103258779272437,0.000691808061674237,0.0123123843222857,0.18886898458004
"7",7,0.0506191626191139,0.136267021298409,3878.15649414062,0.823222577571869,0,0,-4.93685292952695e-31,0.031352486461401,0.0489500984549522,0.0175976250320673,0.0090793538838625,57758956,799.96728515625,0,135.420333862305,57758808,0.0686065405607224,0.0490740463137627,6.78313970565796,NA,NA,0.01494409609586,0.00419203983619809,0.00782276038080454,0.0132119636982679,0.0194840840995312,0.00895159505307674,5.95059490203857,0.20960208773613,0.211398974061012,0.330298960208893,0.0556688085198402,0.0255759917199612,0.00151438417378813,0.0356157347559929,0.0119439279660583,0.151438415050507,NA,NA,200,0,3.7893545627594,-99.1450958251953,0.3553866147995,NA,1.56342172622681,0.0781710520386696,1.5634218454361,0.0781710520386696,7.00013399124146,0.00353470398113132,0.0308171026408672,0.0429786220192909,0.0523550882935524,0.0135752204805613,0.00102512037847191,0.0146659025922418,0.170978516340256
"8",8,0.0686499625444412,0.185180574655533,5430.408203125,0.811096906661987,0,0,-4.93685292952695e-31,0.0491871275007725,0.074115015566349,0.0249279327690601,0.0125732105225325,45639480,799.78125,0,155.352111816406,45639316,0.0912389904260635,0.0630555599927902,9.46407127380371,NA,NA,0.0209425315260887,0.00628292700275779,0.00958166643977165,0.0179980900138617,0.0253748446702957,0.0110589228570461,8.31642150878906,0.314146310091019,0.279454857110977,0.449951857328415,0.0724995508790016,0.0315969213843346,0.00204414688050747,0.0456713773310184,0.0153400413691998,0.204414680600166,NA,NA,200,0,4.60311317443848,-106.90062713623,0.464441210031509,NA,2.11978030204773,0.105989076197147,2.11978030204773,0.105989083647728,8.00019931793213,0.00435514841228724,0.0335005149245262,0.0596942603588104,0.0733104720711708,0.0199462845921516,0.00126466399524361,0.0190815832465887,0.150850519537926
"9",9,0.0945792198181152,0.254188388586044,7786.71630859375,0.79328715801239,0,0,-4.93685292952695e-31,0.0709368735551834,0.106088988482952,0.0351520515978336,0.0151591310277581,47787412,799.929931640625,0,133.120223999023,47787260,0.122795134782791,0.0872772857546806,12.7894287109375,NA,NA,0.0297991074621677,0.00796791631728411,0.0122526418417692,0.0248969476670027,0.0335218198597431,0.0143567016348243,11.2548923492432,0.398395776748657,0.376922249794006,0.622423112392426,0.0957766398787498,0.0410191603004932,0.00272997748106718,0.0639486834406853,0.0205986294895411,0.272997736930847,NA,NA,200,0,6.70465517044067,-93.1417388916016,0.625421643257141,NA,4.61616230010986,0.230808034539223,4.61616182327271,0.230808049440384,9.00026512145996,0.00547461025416851,0.0367106273770332,0.0873969495296478,0.105120614171028,0.0272960867732763,0.00166225142311305,0.025607667863369,0.136573612689972
"10",10,0.123919248580933,0.31807205080986,11114.341796875,0.751225471496582,0,0,-4.93685292952695e-31,0.0754282921552658,0.117119297385216,0.0416910871863365,0.0226796362549067,42431052,799.930053710938,0,164.054473876953,42430896,0.147591009736061,0.115229904651642,15.4593591690063,NA,NA,0.0316540226340294,0.0107359886169434,0.0146396225318313,0.031136617064476,0.0419883094727993,0.0174364428967237,13.5079002380371,0.536799550056458,0.466459929943085,0.778414845466614,0.119966588914394,0.0498184189200401,0.00374394282698631,0.0842382237315178,0.027247741818428,0.374394297599792,NA,NA,200,0,6.65695571899414,-102.716415405273,0.780981540679932,NA,4.58106851577759,0.229053407907486,4.58106851577759,0.229053393006325,10.0003309249878,0.00661503477022052,0.0395970642566681,0.12335392832756,0.150043591856956,0.0388330519199371,0.00249574542976916,0.031916718930006,0.116209179162979
