"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0147238485515118,0.0156068652868271,320,2.08945798873901,0,0,3.72793070002268e+32,0.00921488087624311,0.0144184427335858,0.00520356465131044,2.15806063743493e+32,262665920,798.887573242188,0,444.915374755859,262665472,0.0260560419410467,1.94951583188444e+31,1.38406348228455,NA,NA,0.0129227312281728,0.000522224931046367,0.000861108652316034,0.00158349971752614,0.00364395952783525,0.0065225176513195,1.26762914657593,0.0261112432926893,0.0216886792331934,0.039587490260601,0.0104113128036261,0.018635768443346,1.94951583188444e+31,0.000798316264990717,5.72228782402817e-05,1.94951586573437e+33,NA,NA,200,0,0.72039657831192,2.15806051364092e+34,0.0337077043950558,NA,8.44020013773284e+32,3.09602882707925e-38,0,1.40129846432482e-42,1.00000047683716,0.00280397431924939,0.0280906222760677,0.00146580231375992,0.0211543440818787,0,0,0.00136856001336128,0.308329939842224
"2",2,0.0204229056835175,0.0502954348921776,507.015350341797,1.8161952495575,0,0,3.72793070002268e+32,0.0305936485528946,0.0427811667323112,0.0121875293552876,1.78520117322665e+31,245922848,798.8759765625,0,396.022216796875,245922320,0.0492452047765255,1.64313631070853e+30,2.72735691070557,NA,NA,0.0246283691376448,0.00118385732639581,0.00302892876788974,0.00510328682139516,0.00874303467571735,0.00655773049220443,2.42379713058472,0.0591928698122501,0.0730685442686081,0.127582058310509,0.0249800998717546,0.0187363810837269,1.64313631070853e+30,0.00343765411525965,0.00105189182795584,1.64313618981594e+32,NA,NA,200,0,1.65124583244324,1.78520145369744e+33,0.124556548893452,NA,0.412557691335678,0.0206278823316097,0.412557691335678,0.0206278804689646,1.99997925758362,0.00554439937695861,0.0369002297520638,0.00485250446945429,0.00696311146020889,0.00192635226994753,0.00229411665350199,0.00511036533862352,0.941781640052795
"3",3,0.0314159840345383,0.0866062268614769,801.315734863281,1.74429845809937,0,0,3.72793070002268e+32,0.0491360314190388,0.0685461610555649,0.0194100942462683,1.50438880108572e+30,250191024,798.867614746094,0,431.358551025391,250190624,0.0852021351456642,1.38748151864648e+29,8.86557865142822,NA,NA,0.0438640639185905,0.00220393133349717,0.00496983341872692,0.00878744758665562,0.0163744874298573,0.00900238007307053,8.34044361114502,0.110196597874165,0.122747488319874,0.219686105847359,0.0467842519283295,0.025721088051796,1.38748151864648e+29,0.00656294869259,0.00267614633776248,1.38748162442749e+31,NA,NA,200,0,6.69534587860107,1.50438787021284e+32,0.209755674004555,NA,0.706689834594727,0.0353344939649105,0.706689834594727,0.0353344939649105,2.99995803833008,0.0111365728080273,0.0487756803631783,0.00764044979587197,0.011008027009666,0.00590445334091783,0.00458406051620841,0.00859504286199808,0.817801415920258
"4",4,0.0509245321154594,0.152140572667122,1353.30737304688,1.67341637611389,0,0,3.72793070002268e+32,0.0820299237966537,0.115602649748325,0.0335727520287037,1.27111145261833e+29,247552352,799.013366699219,0,415.946990966797,247551872,0.143966943025589,1.16370361176053e+28,13.5700750350952,NA,NA,0.0739414691925049,0.00413036998361349,0.00809910241514444,0.0154364313930273,0.0301839523017406,0.0121756233274937,12.6488809585571,0.206518590450287,0.207737535238266,0.385910630226135,0.086239866912365,0.0347874872386456,1.16370361176053e+28,0.0116536160930991,0.00544205354526639,1.16370360703817e+30,NA,NA,200,0,6.26589775085449,1.27111211752753e+31,0.363407671451569,NA,1.34670925140381,0.0673354789614677,1.34670925140381,0.0673354789614677,3.99993681907654,0.0205816794186831,0.0623586140573025,0.0129169691354036,0.018654927611351,0.0121362935751677,0.00840988475829363,0.0148552637547255,0.652675986289978
"5",5,0.0755843669176102,0.237658157944679,2339.75805664062,1.53395462036133,0,0,3.72793070002268e+32,0.120390571653843,0.170305281877518,0.0499146096408367,1.06563824102229e+28,257427152,798.844055175781,0,398.738983154297,257426720,0.201371014118195,9.80654740400103e+26,15.5731287002563,NA,NA,0.1012132614851,0.00653603998944163,0.0122732510790229,0.0241129472851753,0.0415608212351799,0.0156746748834848,14.1601963043213,0.326802015304565,0.319776922464371,0.602823317050934,0.118745200335979,0.0447847843170166,9.80654740400103e+26,0.0233065858483315,0.0177227407693863,9.80654746303061e+28,NA,NA,200,0,6.44289445877075,1.06563818907626e+30,0.553173840045929,NA,2.51082968711853,0.125541508197784,2.51082968711853,0.125541508197784,5.00000238418579,0.00623164093121886,0.0386649109423161,0.0222717151045799,0.032236747443676,0.0229521077126265,0.00871847476810217,0.0226055309176445,0.486236244440079
"6",6,0.119758181273937,0.376604825258255,3689.32250976562,1.53891837596893,0,0,3.72793070002268e+32,0.198433592915535,0.277157843112946,0.0787242725491524,8.97810043830192e+26,265547712,798.829467773438,0,387.773590087891,265547328,0.325014412403107,8.2844927154212e+25,27.8551979064941,NA,NA,0.167412742972374,0.0136467581614852,0.0172460991889238,0.0382090024650097,0.0658190026879311,0.0226808190345764,25.4855785369873,0.682337820529938,0.479200631380081,0.955225229263306,0.188054278492928,0.0648023560643196,8.2844927154212e+25,0.0344296768307686,0.0269657224416733,8.28449297367562e+27,NA,NA,200,0,17.6833000183105,8.97809515515442e+28,0.882795989513397,NA,3.75080108642578,0.187540084123611,3.75080108642578,0.18754006922245,6.00006818771362,0.00903696101158857,0.0448624938726425,0.0350374951958656,0.0514261871576309,0.0424132645130157,0.0156547632068396,0.0359531380236149,0.441036373376846
"7",7,0.199046149849892,0.619914889335632,6727.40380859375,1.43681514263153,0,0,3.72793070002268e+32,0.315845191478729,0.444580137729645,0.128734827041626,7.56993686997037e+25,247765824,799.173522949219,0,357.544616699219,247765520,0.513943791389465,7.14560514782918e+24,48.2792320251465,NA,NA,0.264132499694824,0.0231105592101812,0.0255077723413706,0.0628923177719116,0.105274967849255,0.0330256745219231,44.4034652709961,1.15552794933319,0.752788841724396,1.57230734825134,0.300785571336746,0.0943590924143791,7.14560514782918e+24,0.0569553300738335,0.0423844493925571,7.14560530923819e+26,NA,NA,200,0,30.2114887237549,7.56992690872858e+27,1.42089474201202,NA,9.06984901428223,0.453492403030396,9.06984901428223,0.453492432832718,7.00013399124146,0.0129004959017038,0.0517267808318138,0.0532733984291553,0.317693620920181,0.0692851990461349,0.0284609775990248,0.0576514676213264,0.10395447909832
"8",8,0.326591402292252,1.01118290424347,11760.6708984375,1.38251507282257,0,0,3.72793070002268e+32,0.50770378112793,0.715341091156006,0.207637384533882,6.52425827904765e+24,244307872,799.253662109375,0,341.3330078125,244307488,0.802931666374207,6.21346580551153e+23,53.3840866088867,NA,NA,0.413254350423813,0.0384427793323994,0.0382664315402508,0.102585271000862,0.163322821259499,0.047059990465641,47.1100654602051,1.92213904857635,1.18615961074829,2.56463146209717,0.466636627912521,0.134457126259804,6.21346580551153e+23,0.0956473723053932,0.070112057030201,6.21346615138799e+25,NA,NA,200,0,21.006462097168,6.52425698777556e+26,2.27083444595337,NA,14.8736820220947,0.74368417263031,14.873682975769,0.743684113025665,8.00019931793213,0.0178471952676773,0.0588977597653866,0.0934952944517136,0.553413450717926,0.121431976556778,0.0483327098190784,0.0918836444616318,0.0850358605384827
"9",9,0.535852372646332,1.65612125396729,20129.958984375,1.35488569736481,0,0,3.72793070002268e+32,0.818535149097443,1.14986038208008,0.331325173377991,5.62987963802167e+23,245569552,799.60107421875,0,279.065399169922,245569216,1.24850726127625,5.8358621252586e+22,164.355850219727,NA,NA,0.642643511295319,0.0634450316429138,0.0586849525570869,0.168011918663979,0.249676644802094,0.0660452991724014,154.188400268555,3.1722526550293,1.89284884929657,4.20029640197754,0.713361799716949,0.18870085477829,5.8358621252586e+22,0.164390340447426,0.118469148874283,5.8358621072442e+24,NA,NA,200,0,135.346771240234,5.62987665483728e+25,3.65595293045044,NA,24.3497180938721,1.21748602390289,24.3497200012207,1.21748602390289,9.00026512145996,0.0240417551249266,0.0663520395755768,0.160100802779198,0.946503281593323,0.20981939136982,0.079236812889576,0.147617265582085,0.0697782039642334
"10",10,0.914107501506805,2.83051228523254,33913.109375,1.3747124671936,0,0,3.72793070002268e+32,1.43535017967224,1.99205005168915,0.556698799133301,5.22163914043964e+22,251376496,799.564331054688,0,222.863067626953,251376256,2.08070230484009,6.1422506773379e+21,161.528671264648,NA,NA,1.09340727329254,0.109529301524162,0.0945719182491302,0.287148624658585,0.403954684734344,0.0920906662940979,144.292724609375,5.47646474838257,3.16351056098938,7.17871332168579,1.15415668487549,0.263116210699081,6.1422506773379e+21,0.284967213869095,0.193139642477036,6.14225056474791e+23,NA,NA,200,0,52.4574203491211,5.22163337583212e+24,6.16262483596802,NA,39.4139518737793,1.97069787979126,39.4139518737793,1.97069787979126,10.0003309249878,0.0317726656794548,0.0741800963878632,0.267373263835907,1.60965406894684,0.364908248186111,0.136982887983322,0.248371422290802,0.0572114661335945
