"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0131302969530225,0.012880789116025,320,1.93557667732239,0,0,0.248035222291946,0.00290682795457542,0.00596591550856829,0.00305908755399287,0.0088610053062439,45957772,799.8837890625,0,231.436065673828,45957540,0.0162226874381304,0.00885522738099098,0.725642919540405,NA,NA,0.00682392623275518,0.000387517648050562,0.000556623272132128,0.00130687060300261,0.00126604433171451,0.00588170485571027,0.6350057721138,0.019388547167182,0.018154626712203,0.032671757042408,0.00361726921983063,0.0168048720806837,0.00647523859515786,0.000769657373894006,0.00161033147014678,0.647523820400238,NA,NA,200,0,0.144565284252167,-162.453369140625,0.0270312298089266,NA,1.93590486049652,3.06772259809989e-38,0,1.40129846432482e-42,1.00000047683716,0.00111497438047081,0.0259056519716978,0.00149342219810933,0.0218562800437212,0,0,0.000911411771085113,0.269108235836029
"2",2,0.0173362083733082,0.038864403963089,676.985412597656,1.27531957626343,0,0,0.248035222291946,0.0139924632385373,0.0208149868994951,0.00682251341640949,0.0041328864172101,45060560,799.92431640625,0,189.983489990234,45060368,0.025791734457016,0.00914575904607773,1.70356345176697,NA,NA,0.00908763520419598,0.000793819664977491,0.00179719377774745,0.00394052639603615,0.00435006199404597,0.00582249788567424,1.48176598548889,0.0397035032510757,0.0545163862407207,0.0985131338238716,0.0124287502840161,0.0166357103735209,0.00331943156197667,0.00394838070496917,0.00187794689554721,0.331943154335022,NA,NA,200,0,1.09879350662231,-132.216461181641,0.0991261303424835,NA,0.364266604185104,0.0182133186608553,0.364266604185104,0.0182133205235004,1.99997925758362,0.00179744616616517,0.0305696278810501,0.00688306055963039,0.00913930311799049,0.000728127197362483,0.000379357195924968,0.00404406385496259,0.637083351612091
"3",3,0.0264614559710026,0.0669062212109566,1305.92590332031,1.07109415531158,0,0,0.248035222291946,0.0251156613230705,0.0355645716190338,0.010448906570673,0.00428113155066967,61941340,799.931579589844,0,204.681167602539,61941124,0.0436069965362549,0.0121650230139494,2.80833315849304,NA,NA,0.0167882833629847,0.00147239409852773,0.00286063016392291,0.00671530375257134,0.00951212365180254,0.00625826232135296,2.42905831336975,0.0736321061849594,0.0927019268274307,0.167882531881332,0.0271774958819151,0.0178807452321053,0.00171979132574052,0.00812339503318071,0.0023218363057822,0.171979129314423,NA,NA,200,0,1.32985174655914,-151.737365722656,0.162103250622749,NA,0.657777547836304,0.0328888557851315,0.657777547836304,0.0328888557851315,2.99995803833008,0.00401651300489902,0.0372654162347317,0.0132358185946941,0.0176299978047609,0.0028837074059993,0.000700440723448992,0.00659996038302779,0.354978054761887
"4",4,0.0437890477478504,0.120319880545139,2411.40698242188,0.995574355125427,0,0,0.248035222291946,0.0429866015911102,0.0615510419011116,0.0185644179582596,0.00520570809021592,53766744,799.899536132812,0,187.178604125977,53766544,0.0736000910401344,0.0199528392404318,5.48765707015991,NA,NA,0.0279882699251175,0.00305508496239781,0.00469843717291951,0.0121938353404403,0.0179709792137146,0.0076934820972383,4.79209661483765,0.152766525745392,0.164620995521545,0.304845780134201,0.0513456501066685,0.021981380879879,0.00123639381490648,0.0156510919332504,0.00306535395793617,0.123639389872551,NA,NA,200,0,3.09565687179565,-138.022033691406,0.287321239709854,NA,1.17219734191895,0.0586098544299603,1.17219734191895,0.0586098544299603,3.99993681907654,0.00786091759800911,0.0458218641579151,0.0244848765432835,0.0325540043413639,0.00667161680757999,0.00133440818171948,0.0116591118276119,0.236329823732376
"5",5,0.0678758397698402,0.189958527684212,4780.42236328125,0.884744346141815,0,0,0.248035222291946,0.0627779215574265,0.090673953294754,0.0278960317373276,0.0122266579419374,36167700,799.827270507812,0,187.207565307617,36167500,0.0977271273732185,0.0463770739734173,8.12398052215576,NA,NA,0.034071322530508,0.00484253000468016,0.0070924973115325,0.0192186012864113,0.023286173120141,0.00921600125730038,7.0502495765686,0.242138639092445,0.258264422416687,0.480464965105057,0.0665319263935089,0.0263314358890057,0.00165029265917838,0.0344373546540737,0.0102894268929958,0.165029272437096,NA,NA,200,0,4.22419595718384,-139.54736328125,0.42596447467804,NA,2.56467008590698,0.12823349237442,2.56467008590698,0.12823349237442,5.00000238418579,0.00377629278227687,0.0316437557339668,0.0484582930803299,0.0645356997847557,0.0129208080470562,0.00129043485503644,0.0172716658562422,0.142804697155952
"6",6,0.11362561583519,0.324461549520493,7957.9833984375,0.892908036708832,0,0,0.248035222291946,0.106784790754318,0.154746666550636,0.0479617491364479,0.0208843126893044,44653896,799.89892578125,0,216.540481567383,44653676,0.159124761819839,0.070880115032196,16.8718700408936,NA,NA,0.0552536696195602,0.0104283383116126,0.0108861727640033,0.0328299179673195,0.0375309847295284,0.0121956802904606,14.9518404006958,0.521429121494293,0.435777246952057,0.820747792720795,0.107231393456459,0.0348448231816292,0.00246614124625921,0.0537694580852985,0.014644511975348,0.246614128351212,NA,NA,200,0,11.2688617706299,-156.762420654297,0.738453984260559,NA,3.73745369911194,0.186872690916061,3.73745393753052,0.186872690916061,6.00006818771362,0.00509256450459361,0.0356645286083221,0.0808432698249817,0.107432767748833,0.0257338304072618,0.0023829098790884,0.0298354998230934,0.113519184291363
"7",7,0.193731188774109,0.539545178413391,14760.6416015625,0.846919536590576,0,0,0.248035222291946,0.169769525527954,0.24762262403965,0.0778529644012451,0.0329487510025501,53406636,799.855590820312,0,192.373336791992,53406428,0.248912915587425,0.117912791669369,25.3610706329346,NA,NA,0.0844351202249527,0.018456133082509,0.0167418289929628,0.0545907318592072,0.0582947060465813,0.0163943860679865,22.1405639648438,0.922818541526794,0.719520807266235,1.36476850509644,0.166556298732758,0.0468411408364773,0.00397306215018034,0.0907388627529144,0.0232008676975965,0.397306233644485,NA,NA,200,0,14.5877628326416,-146.699844360352,1.1985547542572,NA,7.78252172470093,0.389126241207123,7.78252172470093,0.389126241207123,7.00013399124146,0.00676265871152282,0.0399492122232914,0.150427833199501,0.199268758296967,0.0433523654937744,0.00417869631201029,0.0482924617826939,0.0822727382183075
"8",8,0.350256025791168,0.983370304107666,26423.01953125,0.85769909620285,0,0,0.248035222291946,0.322628527879715,0.46589720249176,0.143268674612045,0.0549792572855949,57688376,799.9296875,0,179.083969116211,57688192,0.432235807180405,0.202239155769348,47.0495185852051,NA,NA,0.149592354893684,0.0336335636675358,0.0286132544279099,0.0994590371847153,0.0983151271939278,0.0226224958896637,41.2312164306641,1.68167841434479,1.30461156368256,2.48647546768188,0.280900359153748,0.0646357610821724,0.0066467672586441,0.158615037798882,0.0369773432612419,0.66467672586441,NA,NA,200,0,28.6459255218506,-143.578720092773,2.14112496376038,NA,15.2472743988037,0.762375295162201,15.2472734451294,0.76237541437149,8.00019931793213,0.00898558739572763,0.0447589084506035,0.267157912254333,0.35671067237854,0.0816210359334946,0.00728907296434045,0.0860734730958939,0.0634197369217873
"9",9,0.623835027217865,1.72978043556213,49185.88671875,0.838717997074127,0,0,0.248035222291946,0.556326866149902,0.805041372776031,0.248714432120323,0.0950905382633209,61730420,799.929931640625,0,148.424331665039,61730276,0.714992642402649,0.380719363689423,73.1399765014648,NA,NA,0.242015853524208,0.0601656511425972,0.0482525154948235,0.174658194184303,0.159244656562805,0.0306557323783636,62.9351577758789,3.00828242301941,2.28749847412109,4.36645364761353,0.454984724521637,0.0875878408551216,0.0119610773399472,0.300416529178619,0.0683417469263077,1.19610774517059,NA,NA,200,0,39.9480056762695,-129.247512817383,3.71723365783691,NA,27.652271270752,1.3826140165329,27.652271270752,1.38261389732361,9.00026512145996,0.0117863528430462,0.0498898029327393,0.495660722255707,0.664009094238281,0.142432436347008,0.0125606572255492,0.149217844009399,0.0461676381528378
"10",10,1.13767623901367,3.16844868659973,89769.515625,0.840660274028778,0,0,0.248035222291946,0.98442816734314,1.4344801902771,0.450052618980408,0.163966819643974,46195496,799.934936523438,0,141.147079467773,46195360,1.23943185806274,0.676739871501923,150.938034057617,NA,NA,0.408528506755829,0.111305177211761,0.0855037495493889,0.319967836141586,0.273449659347534,0.0406769961118698,132.296203613281,5.56525897979736,4.1798849105835,7.99919128417969,0.781284630298615,0.116220057010651,0.0211448185145855,0.540320992469788,0.115274079144001,2.11448168754578,NA,NA,200,0,98.1889495849609,-124.71590423584,6.79010105133057,NA,48.078239440918,2.40391182899475,48.078239440918,2.40391182899475,10.0003309249878,0.0150732202455401,0.055047906935215,0.909246742725372,1.21188831329346,0.271540969610214,0.0243422221392393,0.272263884544373,0.0335649698972702
