"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0147238429635763,0.0156068559736013,320,2.08945751190186,0,0,2.46382362729737e-25,0.00921483803540468,0.0144184287637472,0.00520358746871352,0.000532308651600033,262665920,798.887573242188,0,444.915405273438,262665472,0.0244560018181801,0.00243625044822693,1.37948930263519,NA,NA,0.0129227042198181,0.000522224116139114,0.000861108303070068,0.00158349878620356,0.00204395269975066,0.00652251485735178,1.26762628555298,0.0261112116277218,0.0216886568814516,0.0395874828100204,0.00583986472338438,0.0186357572674751,3.3854965295177e-05,0.000798315741121769,0.00160407973453403,0.00338549655862153,NA,NA,200,0,0.720393121242523,-476.187042236328,0.0382791124284267,NA,1.1186947430504e-25,3.08649999752184e-38,0,1.40129846432482e-42,1.00000047683716,0.00113730179145932,0.028090612962842,0.00146580266300589,0.0211543366312981,0,0,0.00136855931486934,0.308329910039902
"2",2,0.020422887057066,0.0502953864634037,507.014984130859,1.81619548797607,0,0,2.46382362729737e-25,0.0305935982614756,0.042781088501215,0.0121875125914812,0.00366254523396492,245922848,798.8759765625,0,396.022247314453,245922320,0.0479811318218708,0.00584218464791775,2.72374057769775,NA,NA,0.024628322571516,0.00118385581299663,0.00302892690524459,0.005103281699121,0.00747901480644941,0.0065577276982367,2.42379283905029,0.0591927580535412,0.0730684101581573,0.127581983804703,0.0213686134666204,0.0187363680452108,0.000181837182026356,0.00343765108846128,0.00222269655205309,0.0181837193667889,NA,NA,200,0,1.65124320983887,-474.080139160156,0.124556466937065,NA,0.412557005882263,0.0206278562545776,0.412557005882263,0.0206278562545776,1.99997925758362,0.00387771311216056,0.0369002036750317,0.00485249934718013,0.0069631040096283,0.00192635226994753,0.00195811036974192,0.00511036161333323,0.941782236099243
"3",3,0.0314159467816353,0.0866061151027679,801.315185546875,1.74429786205292,0,0,2.46382362729737e-25,0.0491359457373619,0.0685460045933723,0.0194100644439459,0.00825610663741827,250191024,798.867614746094,0,431.358428955078,250190624,0.0842034295201302,0.0104997139424086,8.86270904541016,NA,NA,0.0438639633357525,0.00220392667688429,0.00496982969343662,0.0087874373421073,0.0153758954256773,0.00900237262248993,8.34042644500732,0.110196307301521,0.122747294604778,0.219685763120651,0.0439311414957047,0.0257210601121187,0.000385192077374086,0.00656293937936425,0.00355158257298172,0.0385192073881626,NA,NA,200,0,6.69534015655518,-473.641845703125,0.209755375981331,NA,0.706689059734344,0.0353344231843948,0.706689119338989,0.0353344231843948,2.99995803833008,0.00946987047791481,0.0487756356596947,0.00764044560492039,0.0110080242156982,0.00590444589033723,0.00431860890239477,0.00859503168612719,0.817800939083099
"4",4,0.050924438983202,0.15214030444622,1353.30529785156,1.6734162569046,0,0,2.46382362729737e-25,0.0820297375321388,0.115602441132069,0.0335726924240589,0.0151172913610935,247552352,799.013366699219,0,415.946807861328,247551872,0.14317774772644,0.0184378176927567,13.5677938461304,NA,NA,0.0739412605762482,0.00413036113604903,0.00809909217059612,0.0154364015907049,0.0293950196355581,0.0121756056323647,12.6488552093506,0.206518039107323,0.207737162709236,0.385910034179688,0.0839857757091522,0.0347874313592911,0.000698501593433321,0.0116535946726799,0.0060857217758894,0.0698501616716385,NA,NA,200,0,6.2658805847168,-474.872955322266,0.36340719461441,NA,1.3467059135437,0.067335270345211,1.3467059135437,0.067335270345211,3.99993681907654,0.0189149416983128,0.0623585507273674,0.012916948646307,0.018654890358448,0.0121362805366516,0.00820016115903854,0.0148552376776934,0.652676343917847
"5",5,0.0755842104554176,0.237657696008682,2339.75390625,1.53395426273346,0,0,2.46382362729737e-25,0.12039028853178,0.170304805040359,0.0499145239591599,0.038146123290062,257427152,798.843994140625,0,398.739196777344,257426720,0.201370596885681,0.0424891859292984,15.5731048583984,NA,NA,0.101213052868843,0.00653602182865143,0.012273233383894,0.0241129007190466,0.0415607318282127,0.0156746562570333,14.1601762771606,0.326801151037216,0.319776326417923,0.602822303771973,0.118744947016239,0.0447847098112106,0.00160029483959079,0.0233065616339445,0.0175823271274567,0.160029470920563,NA,NA,200,0,6.44287776947021,-473.742065429688,0.553172886371613,NA,2.51082444190979,0.125541210174561,2.51082444190979,0.125541210174561,5.00000238418579,0.00623163115233183,0.0386648662388325,0.0222716778516769,0.0322366803884506,0.0229520611464977,0.00871844589710236,0.0226054880768061,0.486236661672592
"6",6,0.119757898151875,0.376603901386261,3689.31372070312,1.53891825675964,0,0,2.46382362729737e-25,0.198432967066765,0.277157187461853,0.0787240713834763,0.0536861158907413,265547712,798.829467773438,0,387.773712158203,265547328,0.325013548135757,0.0635930523276329,27.855131149292,NA,NA,0.167412221431732,0.0136467181146145,0.0172460675239563,0.0382089093327522,0.0658188536763191,0.0226807799190283,25.4855194091797,0.682335913181305,0.479199469089508,0.95522278547287,0.188053876161575,0.0648022070527077,0.00233358284458518,0.0344295687973499,0.0268299039453268,0.233358278870583,NA,NA,200,0,17.6832542419434,-472.995941162109,0.882794260978699,NA,3.75079035758972,0.187539517879486,3.75079035758972,0.187539517879486,6.00006818771362,0.00903694424778223,0.0448624491691589,0.0350374057888985,0.0514260567724705,0.0424131825566292,0.0156547222286463,0.0359530672430992,0.441036731004715
"7",7,0.199045494198799,0.619912981987,6727.38623046875,1.43681478500366,0,0,2.46382362729737e-25,0.315844148397446,0.444578438997269,0.128734394907951,0.087481401860714,247765824,799.173522949219,0,357.544921875,247765520,0.513942003250122,0.10302709043026,48.279125213623,NA,NA,0.264131456613541,0.0231104698032141,0.0255077108740807,0.0628921091556549,0.105274640023708,0.033025611191988,44.4033660888672,1.15552377700806,0.752786576747894,1.57230269908905,0.300784707069397,0.094358891248703,0.00381893268786371,0.0569551102817059,0.0422530435025692,0.381893277168274,NA,NA,200,0,30.2114009857178,-468.594085693359,1.42089104652405,NA,9.06982231140137,0.453491240739822,9.06982231140137,0.453491270542145,7.00013399124146,0.0129004688933492,0.0517267324030399,0.0532732494175434,0.317692667245865,0.0692850202322006,0.028460867702961,0.0576512888073921,0.103954590857029
"8",8,0.326590210199356,1.01117920875549,11760.6318359375,1.38251495361328,0,0,2.46382362729737e-25,0.507701516151428,0.715337753295898,0.207636624574661,0.149629682302475,244307872,799.253662109375,0,341.332916259766,244307488,0.802928626537323,0.172112464904785,53.3839530944824,NA,NA,0.413252651691437,0.0384426191449165,0.0382663123309612,0.102584898471832,0.163322255015373,0.0470598861575127,47.1099548339844,1.92213129997253,1.18615567684174,2.56462216377258,0.466635018587112,0.134456768631935,0.00648064026609063,0.095647044479847,0.0699847713112831,0.648064017295837,NA,NA,200,0,21.0063858032227,-466.468444824219,2.27082705497742,NA,14.8736257553101,0.74368143081665,14.8736257553101,0.743681371212006,8.00019931793213,0.0178471561521292,0.0588977038860321,0.0934949815273285,0.553411424160004,0.12143163383007,0.0483324937522411,0.0918833166360855,0.0850359871983528
"9",9,0.53585010766983,1.6561142206192,20129.87890625,1.35488569736481,0,0,2.46382362729737e-25,0.81853049993515,1.14985406398773,0.331323832273483,0.251147478818893,245569552,799.60107421875,0,279.06591796875,245569216,1.24850225448608,0.293922156095505,164.355255126953,NA,NA,0.642640709877014,0.0634447336196899,0.0586847513914108,0.168011218309402,0.249675631523132,0.0660451799631119,154.187835693359,3.17223787307739,1.89284181594849,4.20027828216553,0.713358759880066,0.188700467348099,0.011186801828444,0.164389625191689,0.118345722556114,1.11868023872375,NA,NA,200,0,135.346221923828,-449.944732666016,3.65593886375427,NA,24.3496150970459,1.21748101711273,24.3496150970459,1.21748113632202,9.00026512145996,0.024041710421443,0.0663519874215126,0.16010020673275,0.946499347686768,0.209818616509438,0.0792364031076431,0.147616669535637,0.0697783678770065
"10",10,0.914103448390961,2.83049893379211,33912.97265625,1.37471199035645,0,0,2.46382362729737e-25,1.43534338474274,1.99203896522522,0.556695997714996,0.400154054164886,251376496,799.564331054688,0,222.863433837891,251376256,2.0806930065155,0.496920734643936,161.528045654297,NA,NA,1.0934020280838,0.109528742730618,0.0945715680718422,0.287147283554077,0.403953015804291,0.0920904651284218,144.292175292969,5.47643661499023,3.16349625587463,7.1786789894104,1.15415191650391,0.263115495443344,0.018935302272439,0.284966021776199,0.193019419908524,1.89353024959564,NA,NA,200,0,52.4571876525879,-427.124084472656,6.16259717941284,NA,39.4137878417969,1.97068953514099,39.4137878417969,1.97068929672241,10.0003309249878,0.0317725986242294,0.0741800293326378,0.267372220754623,1.60964727401733,0.364906698465347,0.136982187628746,0.24837039411068,0.0572115816175938
