"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0131300864741206,0.012880559079349,320,1.93555724620819,0,0,-1.33446070372975e-18,0.00290576159022748,0.00596476718783379,0.00305900583043694,0.000102362122561317,45957772,799.8837890625,0,231.436096191406,45957540,0.0178216397762299,0.000809034972917289,0.730197966098785,NA,NA,0.00682316441088915,0.000387505308026448,0.000556608603801578,0.00130684720352292,0.00286596245132387,0.00588155258446932,0.635004341602325,0.0193752720952034,0.0181542579084635,0.0326711609959602,0.0081884628161788,0.0168044343590736,1.05664348666323e-05,0.000769645324908197,2.88232040475123e-05,0.00105664343573153,NA,NA,200,0,0.144561439752579,-163.327926635742,0.0224594585597515,NA,-2.7375138475659e-20,3.08523882890395e-38,0,1.40129846432482e-42,1.00000047683716,0.00229022698476911,0.0259053781628609,0.00149343069642782,0.0218562204390764,0,0,0.000911397335585207,0.26910200715065
"2",2,0.0173358023166656,0.0388634875416756,676.973754882812,1.27531898021698,0,0,-1.33446070372975e-18,0.0139922434464097,0.0208145100623369,0.00682226289063692,0.000883346714545041,45060560,799.92431640625,0,189.983535766602,45060368,0.0272946041077375,0.00444496842101216,1.70783054828644,NA,NA,0.00908711366355419,0.000793791958130896,0.0017971295164898,0.00394043326377869,0.00585378753021359,0.00582234794273973,1.48175489902496,0.0396896228194237,0.0545148588716984,0.0985107868909836,0.0167251080274582,0.0166352763772011,9.03056861716323e-05,0.00394827174022794,0.000406391074648127,0.00903056841343641,NA,NA,200,0,1.09877574443817,-132.540130615234,0.0991234183311462,NA,0.364254981279373,0.0182127542793751,0.364255011081696,0.0182127542793751,1.99997925758362,0.00346398027613759,0.0305691622197628,0.00688294274732471,0.00913914665579796,0.000728126964531839,0.000475327542517334,0.00404395256191492,0.637077867984772
"3",3,0.026460774242878,0.0669045001268387,1305.89172363281,1.07109773159027,0,0,-1.33446070372975e-18,0.0251150652766228,0.0355636514723301,0.0104485880583525,0.00249579385854304,61941340,799.931579589844,0,204.681121826172,61941124,0.0450192764401436,0.00933960545808077,2.81230592727661,NA,NA,0.0167877487838268,0.00147234834730625,0.00286052492447197,0.00671513145789504,0.0109254727140069,0.00625804951414466,2.42901539802551,0.0736174285411835,0.0926991477608681,0.167878150939941,0.031215637922287,0.0178801361471415,0.00026106447330676,0.00812317989766598,0.000955360650550574,0.0261064469814301,NA,NA,200,0,1.32980918884277,-151.914688110352,0.162098914384842,NA,0.657754361629486,0.0328877344727516,0.657754361629486,0.0328877344727516,2.99995803833008,0.00568296108394861,0.0372648686170578,0.013235473074019,0.0176295377314091,0.00288363778963685,0.000790647056419402,0.0065997838973999,0.354975253343582
"4",4,0.0437878966331482,0.120316691696644,2411.33935546875,0.995577216148376,0,0,-1.33446070372975e-18,0.0429854728281498,0.0615493841469288,0.0185639038681984,0.0044428464025259,53766744,799.899536132812,0,187.178787231445,53766544,0.0749268084764481,0.0179747454822063,5.4913010597229,NA,NA,0.0279875304549932,0.00305499439127743,0.00469827326014638,0.0121935121715069,0.019299253821373,0.00769324973225594,4.79197549819946,0.152749747037888,0.164616212248802,0.304837733507156,0.0551407225430012,0.0219807140529156,0.000527857162524015,0.0156506691128016,0.00179621856659651,0.0527857169508934,NA,NA,200,0,3.09555912017822,-138.097091674805,0.287313520908356,NA,1.17216181755066,0.0586080923676491,1.17216181755066,0.0586080923676491,3.99993681907654,0.00952725671231747,0.0458212457597256,0.0244841873645782,0.0325530916452408,0.00667141191661358,0.00141918670851737,0.0116587933152914,0.236329317092896
"5",5,0.0678739100694656,0.189953118562698,4780.283203125,0.884745240211487,0,0,-1.33446070372975e-18,0.0627761706709862,0.0906713828444481,0.0278952214866877,0.0118592623621225,36167700,799.827270507812,0,187.207809448242,36167500,0.0977243408560753,0.04609414935112,8.12373733520508,NA,NA,0.0340704545378685,0.00484237587079406,0.00709225377067924,0.0192180573940277,0.0232854466885328,0.00921575259417295,7.05005073547363,0.242118790745735,0.258256554603577,0.480451315641403,0.0665298402309418,0.0263307262212038,0.00130940950475633,0.0344363935291767,0.0103483460843563,0.130940958857536,NA,NA,200,0,4.2240686416626,-139.584167480469,0.425951957702637,NA,2.56459426879883,0.128229737281799,2.56459426879883,0.128229737281799,5.00000238418579,0.00377601268701255,0.0316428057849407,0.0484568774700165,0.0645338147878647,0.0129204019904137,0.00129039329476655,0.0172711629420519,0.142805024981499
"6",6,0.113622315227985,0.324452251195908,7957.7412109375,0.892908990383148,0,0,-1.33446070372975e-18,0.106781892478466,0.154742270708084,0.0479603931307793,0.020693339407444,44653896,799.89892578125,0,216.540939331055,44653676,0.159120336174965,0.0707868114113808,16.8713550567627,NA,NA,0.0552522577345371,0.0104280235245824,0.0108858207240701,0.0328289791941643,0.0375298745930195,0.0121953785419464,14.9513921737671,0.521401286125183,0.435764074325562,0.820724248886108,0.107228219509125,0.0348439700901508,0.00231626909226179,0.0537679009139538,0.0147026423364878,0.231626912951469,NA,NA,200,0,11.2685165405273,-156.781677246094,0.738434076309204,NA,3.73733282089233,0.186866655945778,3.73733282089233,0.186866641044617,6.00006818771362,0.00509221432730556,0.0356635488569736,0.0808407962322235,0.107429496943951,0.0257330499589443,0.00238283537328243,0.0298346523195505,0.113519832491875
"7",7,0.1937255859375,0.539529740810394,14760.189453125,0.846920430660248,0,0,-1.33446070372975e-18,0.169764816761017,0.247615694999695,0.0778507366776466,0.0328679196536541,53406636,799.855590820312,0,192.374053955078,53406428,0.248906195163727,0.117897912859917,25.3603343963623,NA,NA,0.0844330340623856,0.0184555910527706,0.0167413149029016,0.0545891746878624,0.0582930892705917,0.0163939967751503,22.1399345397949,0.922779500484467,0.719499528408051,1.36472940444946,0.166551679372787,0.0468400157988071,0.00390362064354122,0.0907362177968025,0.0232580751180649,0.390362054109573,NA,NA,200,0,14.5873460769653,-146.708084106445,1.19852077960968,NA,7.78227853775024,0.389114081859589,7.78227853775024,0.389114081859589,7.00013399124146,0.00676222424954176,0.0399481877684593,0.15042319893837,0.199262648820877,0.0433510206639767,0.00417857384309173,0.0482911095023155,0.0822733044624329
"8",8,0.350245714187622,0.983341336250305,26422.21484375,0.857699573040009,0,0,-1.33446070372975e-18,0.322618901729584,0.465883582830429,0.143264457583427,0.0549415796995163,57688376,799.9296875,0,179.084884643555,57688192,0.432223975658417,0.202257871627808,47.0481452941895,NA,NA,0.149588525295258,0.0336325466632843,0.0286123808473349,0.0994561091065407,0.0983124002814293,0.0226220190525055,41.2300109863281,1.68162763118744,1.30457258224487,2.48640275001526,0.280892550945282,0.064634345471859,0.00661401730030775,0.158610329031944,0.037033524364233,0.661401689052582,NA,NA,200,0,28.6450653076172,-143.582733154297,2.14106273651123,NA,15.2468309402466,0.762341439723969,15.2468318939209,0.762341499328613,8.00019931793213,0.00898505374789238,0.0447578430175781,0.267149746417999,0.356699794530869,0.081618495285511,0.00728885736316442,0.0860709622502327,0.063420332968235
"9",9,0.623816192150116,1.72972846031189,49184.37890625,0.838718295097351,0,0,-1.33446070372975e-18,0.556310594081879,0.805017352104187,0.248706951737404,0.0950724110007286,61730420,799.929931640625,0,148.425415039062,61730276,0.714972376823425,0.380747944116592,73.1378707885742,NA,NA,0.242009282112122,0.0601638033986092,0.0482510291039944,0.174652934074402,0.159240156412125,0.0306551344692707,62.9333686828613,3.0081901550293,2.287428855896,4.36632204055786,0.454971849918365,0.0875860974192619,0.0119443042203784,0.300407260656357,0.0683963894844055,1.19443035125732,NA,NA,200,0,39.9468841552734,-129.249526977539,3.71712589263916,NA,27.651439666748,1.38257229328156,27.6514377593994,1.38257217407227,9.00026512145996,0.0117856953293085,0.0498886816203594,0.495645463466644,0.663988709449768,0.142428010702133,0.0125602744519711,0.149213373661041,0.0461681559681892
"10",10,1.13764178752899,3.16835308074951,89766.75,0.840660452842712,0,0,-1.33446070372975e-18,0.98439884185791,1.43443775177002,0.450039088726044,0.163954377174377,46195496,799.934936523438,0,141.148162841797,46195360,1.23939657211304,0.676765739917755,150.933822631836,NA,NA,0.408517241477966,0.111301772296429,0.0855011269450188,0.319958239793777,0.273441910743713,0.0406762585043907,132.292541503906,5.56508874893188,4.17975759506226,7.99895095825195,0.781262457370758,0.116217911243439,0.0211357455700636,0.540303289890289,0.115326710045338,2.11357474327087,NA,NA,200,0,98.1862411499023,-124.717178344727,6.78990840911865,NA,48.0767669677734,2.40383839607239,48.0767669677734,2.40383839607239,10.0003309249878,0.0150724155828357,0.0550467558205128,0.909218728542328,1.21185088157654,0.271532595157623,0.0243414901196957,0.272255748510361,0.0335653983056545
