"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0135572198778391,0.0132983876392245,320,1.98560094833374,0,0,3.84021366647434e+27,0.000607470108661801,0.00389188202098012,0.00328441150486469,7.54870125092566e-05,44650784,799.900817871094,0,175.885833740234,44650632,0.0163138918578625,0.00242782570421696,0.77286821603775,NA,NA,0.0062610013410449,0.000329579197568819,0.000799379253294319,0.00134929036721587,0.00121128535829484,0.00636335555464029,0.679917275905609,0.0164789371192455,0.0210980251431465,0.0337322428822517,0.00346081564202905,0.0181810036301613,8.28386419016169e-06,0.000775028544012457,0.0016445133369416,0.000828386400826275,NA,NA,200,0,0.103081360459328,-114.95044708252,0.0265528317540884,NA,-1.86096760083496e+32,3.08495856921108e-38,0,1.40129846432482e-42,1.00000047683716,0.00110587407834828,0.0247837491333485,0.00150185637176037,0.0220349989831448,0,0,0.000903309846762568,0.288784027099609
"2",2,0.0166788045316935,0.0367848239839077,622.539367675781,1.32387089729309,0,0,3.84021366647434e+27,0.0101410578936338,0.0163317713886499,0.00619071396067739,0.000605518987867981,44772384,799.942687988281,0,145.744079589844,44772240,0.0221800897270441,0.00609716819599271,1.27279889583588,NA,NA,0.00543006509542465,0.000591978896409273,0.00251954910345376,0.00371341849677265,0.00362521479837596,0.00629986263811588,1.06163656711578,0.0295989401638508,0.0603705048561096,0.0928354561328888,0.0103577561676502,0.0179995931684971,6.91956374794245e-05,0.0039482144638896,0.00207975832745433,0.00691956374794245,NA,NA,200,0,0.616161644458771,-92.5585784912109,0.095956489443779,NA,0.309804439544678,0.0154902031645179,0.309804439544678,0.0154902031645179,1.99997925758362,0.00137676915619522,0.0276711769402027,0.00687135383486748,0.00840428099036217,0.000726508791558444,0.000293191376840696,0.0039816708303988,0.749601602554321
"3",3,0.0216275546699762,0.0513336583971977,1100.00549316406,1.0406768321991,0,0,3.84021366647434e+27,0.0139404321089387,0.0209172423928976,0.00697679398581386,0.00169956963509321,41133176,799.961791992188,0,156.164855957031,41133016,0.0298610739409924,0.0106570431962609,1.82440686225891,NA,NA,0.00762884318828583,0.000792407779954374,0.00344291119836271,0.00511062238365412,0.0066514047794044,0.00623488519340754,1.53657233715057,0.0396203920245171,0.0836305692791939,0.127765521407127,0.0190040115267038,0.0178139451891184,0.000208013167139143,0.00772774685174227,0.00272128381766379,0.0208013169467449,NA,NA,200,0,0.740084290504456,-105.440704345703,0.139408931136131,NA,0.503015160560608,0.0251507516950369,0.503015160560608,0.0251507516950369,2.99995803833008,0.00198607868514955,0.0312245544046164,0.0121718319132924,0.0148500725626945,0.00255490723066032,0.00048188425716944,0.00577756203711033,0.419855535030365
"4",4,0.0280400905758142,0.0729332789778709,1529.52014160156,0.999476373195648,0,0,3.84021366647434e+27,0.0175496861338615,0.0268848910927773,0.00933519285172224,0.00257212785072625,57782996,799.942260742188,0,134.809539794922,57782852,0.0386278443038464,0.0168678630143404,3.13166308403015,NA,NA,0.00889201927930117,0.00139618234243244,0.00461991457268596,0.00714479433372617,0.0103156631812453,0.00625926861539483,2.71919870376587,0.06980911642313,0.116678699851036,0.178619727492332,0.0294733252376318,0.0178836081176996,0.000389327353332192,0.0128711378201842,0.00360739859752357,0.0389327369630337,NA,NA,200,0,1.57269978523254,-90.7580261230469,0.194729179143906,NA,0.483842849731445,0.0241921506822109,0.483842849731445,0.0241921506822109,3.99993681907654,0.00327179371379316,0.0352281630039215,0.0165900625288486,0.0206485204398632,0.00543282367289066,0.000727888662368059,0.00805503409355879,0.303133994340897
"5",5,0.033496655523777,0.0931820049881935,2346.033203125,0.87962532043457,0,0,3.84021366647434e+27,0.0268593113869429,0.0395510941743851,0.0126917669549584,0.00531763304024935,46136464,799.892639160156,0,148.551559448242,46136320,0.0470849946141243,0.0299523938447237,4.30791091918945,NA,NA,0.0109611926600337,0.00190406234469265,0.0059714145027101,0.00918759685009718,0.0126266535371542,0.00643407553434372,3.77910041809082,0.0952030867338181,0.149458304047585,0.229689791798592,0.0360761508345604,0.0183830559253693,0.000755737710278481,0.0218683574348688,0.00732829747721553,0.0755737721920013,NA,NA,200,0,2.4928982257843,-98.394645690918,0.231393665075302,NA,0.959202885627747,0.0479601323604584,0.959202826023102,0.0479601323604584,5.00000238418579,0.00247651571407914,0.026729317381978,0.0257219988852739,0.0316714383661747,0.00762431975454092,0.000509463716298342,0.00959978811442852,0.203150719404221
"6",6,0.0470998883247375,0.13393323123455,3196.56005859375,0.901685535907745,0,0,3.84021366647434e+27,0.0414414033293724,0.060252632945776,0.0188112072646618,0.00825569964945316,37591944,799.950012207031,0,184.55126953125,37591764,0.069908119738102,0.0403150133788586,6.14050102233887,NA,NA,0.0194499529898167,0.00372343743219972,0.00755339022725821,0.0131684159860015,0.0179701186716557,0.00804280582815409,5.34390354156494,0.186171784996986,0.206892922520638,0.329210370779037,0.0513431914150715,0.0229794234037399,0.00119213876314461,0.0295100528746843,0.00961282011121511,0.119213871657848,NA,NA,200,0,2.73148059844971,-112.38695526123,0.337104618549347,NA,1.22176158428192,0.0610880665481091,1.22176158428192,0.0610880665481091,6.00006818771362,0.00320141483098269,0.0296203177422285,0.0345460325479507,0.0431535355746746,0.0113915912806988,0.000817937776446342,0.0139053286984563,0.18637652695179
"7",7,0.0636181905865669,0.166978150606155,5336.56494140625,0.774981200695038,0,0,3.84021366647434e+27,0.0398410819470882,0.0617503710091114,0.0219092890620232,0.0104929516091943,57758956,799.967651367188,0,134.408508300781,57758808,0.0828910544514656,0.0566802248358727,8.31558132171631,NA,NA,0.0197080411016941,0.00464874878525734,0.00893070828169584,0.0164080895483494,0.023106599226594,0.0100888712331653,7.32385444641113,0.232437416911125,0.254242897033691,0.410202026367188,0.0660188570618629,0.0288253296166658,0.00172267167363316,0.0417412221431732,0.0132163325324655,0.1722671687603,NA,NA,200,0,3.83983635902405,-98.817626953125,0.422421932220459,NA,2.71325707435608,0.135662779211998,2.71325707435608,0.135662779211998,7.00013399124146,0.00400078482925892,0.0323825366795063,0.0588644966483116,0.0720435678958893,0.0155456569045782,0.00127106648869812,0.0173793192952871,0.140038475394249
"8",8,0.0887417420744896,0.243903532624245,6813.78076171875,0.837138772010803,0,0,3.84021366647434e+27,0.0676006972789764,0.100600220263004,0.0329995900392532,0.0150737417861819,45639480,799.782348632812,0,153.032608032227,45639320,0.116143353283405,0.0759547501802444,10.7040929794312,NA,NA,0.0290204510092735,0.00748687237501144,0.0116873169317842,0.0238170102238655,0.0311417542397976,0.0129899438470602,9.2469596862793,0.374343484640121,0.36127370595932,0.595425128936768,0.0889764428138733,0.037114106118679,0.00240925652906299,0.056127417832613,0.0174180772155523,0.240925654768944,NA,NA,200,0,4.36411714553833,-106.21443939209,0.591435730457306,NA,3.10482430458069,0.155241221189499,3.10482430458069,0.155241221189499,8.00019931793213,0.00501015083864331,0.0354317873716354,0.0745854899287224,0.0919860154390335,0.0284949466586113,0.00162011792417616,0.0242185555398464,0.14121650159359
"9",9,0.123879365622997,0.342839419841766,9608.3076171875,0.829864501953125,0,0,3.84021366647434e+27,0.100337274372578,0.147435650229454,0.0470984317362309,0.0191108398139477,47787412,799.930786132812,0,130.165924072266,47787264,0.163271933794022,0.110052436590195,16.1668224334717,NA,NA,0.0426488481462002,0.0125308763235807,0.0150988064706326,0.0338249802589417,0.0425153225660324,0.0166531130671501,14.0276718139648,0.626543641090393,0.497931212186813,0.845624387264252,0.121472358703613,0.0475803092122078,0.00335824955254793,0.0825040936470032,0.024190092459321,0.335824966430664,NA,NA,200,0,8.52080059051514,-92.2472915649414,0.825432240962982,NA,3.92951059341431,0.196475505828857,3.92951059341431,0.196475490927696,9.00026512145996,0.00638078944757581,0.0390304177999496,0.10729506611824,0.129712134599686,0.0338284894824028,0.00233126245439053,0.0336691401898861,0.128385156393051
"10",10,0.186160519719124,0.463288575410843,17955.658203125,0.717451751232147,0,0,3.84021366647434e+27,0.11445664614439,0.175209075212479,0.0607524402439594,0.0298041477799416,42431052,799.932861328125,0,158.907257080078,42430896,0.205641880631447,0.152334690093994,18.9110546112061,NA,NA,0.0505872070789337,0.0126177035272121,0.0193389989435673,0.0455955937504768,0.0565705709159374,0.0209318082779646,16.2539005279541,0.630885183811188,0.664943635463715,1.13988900184631,0.161630198359489,0.059805192053318,0.00482607493177056,0.114420637488365,0.0330879837274551,0.482607483863831,NA,NA,200,0,6.5596776008606,-101.205390930176,1.10333490371704,NA,11.3063135147095,0.565315544605255,11.3063135147095,0.5653156042099,10.0003309249878,0.00780520588159561,0.0423064157366753,0.198394149541855,0.242401331663132,0.0493139065802097,0.00377190508879721,0.0449093095958233,0.0863518714904785
