"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"1",1,0.0142511362209916,0.0212229900062084,320,2.05525994300842,0,0,-2.00212118951315e-16,-0.000104920793091878,0.00461369985714555,0.00471861893311143,9.65229701250792e-05,44650784,799.90087890625,0,175.69856262207,44650632,0.0202700048685074,0.00133342586923391,1.21172320842743,NA,NA,0.00643166061490774,0.000565850699786097,0.00120464572682977,0.00208544242195785,0.00318024912849069,0.00680215610191226,1.07073700428009,0.0282925385981798,0.0320364646613598,0.052136056125164,0.00908642634749413,0.0194347389042377,1.0903458132816e-05,0.00123920757323503,8.33148515084758e-05,0.00109034578781575,NA,NA,200,0,0.345939666032791,-114.887451171875,0.0350873284041882,NA,1.82168800362226e-41,4.57720130387058e-38,1.40129846432482e-42,0,1.00000047683716,0.00222507165744901,0.0256089027971029,0.00594286853447556,0.0200125835835934,0,0,0.00142994779162109,0.339893937110901
"2",2,0.0185307264328003,0.0401791110634804,869.911376953125,1.0983510017395,0,0,-2.00212118951315e-16,0.0103899408131838,0.0169789381325245,0.00658900197595358,0.000754974375013262,44772384,799.942749023438,0,145.499206542969,44772240,0.0257223062217236,0.00551608577370644,1.2965384721756,NA,NA,0.00543132424354553,0.000557634688448161,0.00328684528358281,0.00404810905456543,0.00567981274798512,0.00671857967972755,1.05880117416382,0.0278817433863878,0.0732289105653763,0.101202666759491,0.016228036954999,0.0191959477961063,8.62287852214649e-05,0.0047042602673173,0.000725596793927252,0.00862287823110819,NA,NA,200,0,0.216716423630714,-92.4950256347656,0.112269923090935,NA,0.554533660411835,0.0277266874909401,0.554533660411835,0.0277266874909401,1.99997925758362,0.00289115030318499,0.0284370519220829,0.00982499495148659,0.0117438053712249,0.000462226395029575,0.000290539755951613,0.00464709335938096,0.572095632553101
"3",3,0.023761935532093,0.0561272799968719,1321.05187988281,0.975327014923096,0,0,-2.00212118951315e-16,0.013883313164115,0.0215094741433859,0.00762616004794836,0.00191710575018078,41133176,799.961853027344,0,155.87614440918,41133016,0.0326721146702766,0.0105324946343899,2.5392906665802,NA,NA,0.00656739203259349,0.000929197994992137,0.00443316856399179,0.00556958466768265,0.00854107551276684,0.00663169845938683,2.20992374420166,0.0464598871767521,0.100316628813744,0.139239490032196,0.0244030766189098,0.0189477186650038,0.000238957727560773,0.00868117529898882,0.00161236186977476,0.0238957721740007,NA,NA,200,0,1.42302179336548,-105.356864929199,0.15824930369854,NA,0.466862946748734,0.0233431570231915,0.466862946748734,0.0233431570231915,2.99995803833008,0.00388061534613371,0.0319903567433357,0.0147806517779827,0.0178341940045357,0.00157225015573204,0.00038733848487027,0.00654616625979543,0.371852993965149
"4",4,0.031001528725028,0.0792014002799988,1865.76123046875,0.934235870838165,0,0,-2.00212118951315e-16,0.0176936071366072,0.0277082361280918,0.0100146383047104,0.0028097559697926,57782996,799.942260742188,0,134.505279541016,57782852,0.0408021435141563,0.0172863435000181,3.50267648696899,NA,NA,0.00708141271024942,0.00163431896362454,0.00583614315837622,0.0077283438295126,0.0119780264794827,0.00654389848932624,3.03851938247681,0.0817159488797188,0.136313229799271,0.19320847094059,0.0342229269444942,0.0186968613415956,0.000432303640991449,0.0140964835882187,0.00275755650363863,0.0432303622364998,NA,NA,200,0,1.22468042373657,-90.6699295043945,0.219351261854172,NA,0.56954824924469,0.0284774042665958,0.56954824924469,0.028477406129241,3.99993681907654,0.00510686170309782,0.0357043631374836,0.0207103043794632,0.0251877810806036,0.00248389248736203,0.000508696539327502,0.00905487593263388,0.259804487228394
"5",5,0.0375708602368832,0.101391062140465,3047.19067382812,0.802381455898285,0,0,-2.00212118951315e-16,0.0266558434814215,0.0402417071163654,0.0135858776047826,0.00576925557106733,46136464,799.892639160156,0,148.204513549805,46136320,0.0455899015069008,0.0333851240575314,3.86580848693848,NA,NA,0.00769397895783186,0.00213526142761111,0.00746198650449514,0.00985795073211193,0.011985469609499,0.00645525846630335,3.28552079200745,0.106763064861298,0.174388095736504,0.246448680758476,0.0342441983520985,0.0184436030685902,0.000825819908641279,0.0237462222576141,0.00881308037787676,0.082581989467144,NA,NA,200,0,1.6006692647934,-98.2913818359375,0.257565319538116,NA,1.29104340076447,0.0645521804690361,1.29104351997375,0.0645521879196167,5.00000238418579,0.00228064972907305,0.0258626975119114,0.0343607105314732,0.0411370731890202,0.00343187013641,0.000428458355600014,0.0106593910604715,0.156920701265335
"6",6,0.0490449145436287,0.13224858045578,3990.29028320312,0.803474605083466,0,0,-2.00212118951315e-16,0.0376376211643219,0.0561252608895302,0.0184876229614019,0.00898339413106441,37591944,799.950012207031,0,184.639907836914,37591764,0.0628227293491364,0.0448065027594566,5.22310447692871,NA,NA,0.0136839132755995,0.00369585119187832,0.00888882856816053,0.0129666943103075,0.016446977853775,0.00714046508073807,4.42984199523926,0.184792533516884,0.216909900307655,0.324167340993881,0.0469913594424725,0.0204013343900442,0.00129779824055731,0.0314499847590923,0.0120587181299925,0.129779830574989,NA,NA,200,0,2.43510365486145,-112.399703979492,0.341714292764664,NA,1.51415801048279,0.0757078975439072,1.5141578912735,0.0757078900933266,6.00006818771362,0.00288268411532044,0.0284033920615911,0.0439064092934132,0.0538689121603966,0.00491357874125242,0.000587127928156406,0.0140967834740877,0.132552608847618
"7",7,0.0641950815916061,0.169808968901634,5452.40283203125,0.781900346279144,0,0,-2.00212118951315e-16,0.0379526577889919,0.0594784095883369,0.0215257797390223,0.0106600690633059,57758956,799.967651367188,0,134.294738769531,57758808,0.0750889331102371,0.0598328784108162,7.76660823822021,NA,NA,0.0135964760556817,0.00544628314673901,0.0104536535218358,0.0161563493311405,0.020830437541008,0.00860573723912239,6.73976373672485,0.272314012050629,0.266518533229828,0.403908729553223,0.059515543282032,0.0245878119021654,0.00179866480175406,0.0423254109919071,0.0157088059931993,0.179866477847099,NA,NA,200,0,3.76647210121155,-98.7713317871094,0.438445776700974,NA,1.97132074832916,0.098566047847271,1.97132074832916,0.098566047847271,7.00013399124146,0.00353458989411592,0.0308167487382889,0.0612865872681141,0.0736074522137642,0.00698003172874451,0.000875465106219053,0.0180194284766912,0.116913937032223
"8",8,0.0920400246977806,0.243277832865715,8078.31640625,0.769368529319763,0,0,-2.00212118951315e-16,0.0622982978820801,0.0945597290992737,0.0322614125907421,0.0150869907811284,45639480,799.782348632812,0,152.968246459961,45639320,0.103316128253937,0.0788169279694557,10.9161424636841,NA,NA,0.020328976213932,0.00828388705849648,0.0130018163472414,0.0234531983733177,0.0278314538300037,0.0104167917743325,9.44919204711914,0.414194405078888,0.357145756483078,0.586329519748688,0.0795184448361397,0.0297622606158257,0.00245137885212898,0.0561191774904728,0.0202463734894991,0.245137900114059,NA,NA,200,0,5.2276782989502,-106.18399810791,0.600778341293335,NA,3.25922584533691,0.162961184978485,3.25922584533691,0.162961184978485,8.00019931793213,0.00435499334707856,0.0335000902414322,0.0896769911050797,0.109057247638702,0.00972575321793556,0.00108287367038429,0.0245667025446892,0.0955167338252068
"9",9,0.128657788038254,0.335541784763336,11905.388671875,0.745591342449188,0,0,-2.00212118951315e-16,0.0902300477027893,0.135985434055328,0.0457553081214428,0.0191435962915421,47787412,799.930725097656,0,130.589797973633,47787264,0.139570131897926,0.113649107515812,13.3731784820557,NA,NA,0.0292866565287113,0.0110418470576406,0.0165666788816452,0.0326520949602127,0.0367356166243553,0.0132872257381678,11.3863430023193,0.552092552185059,0.475517749786377,0.816302359104156,0.104958899319172,0.0379634983837605,0.00338408816605806,0.0821596086025238,0.0281054060906172,0.338408797979355,NA,NA,200,0,6.45725107192993,-92.3527603149414,0.813354909420013,NA,6.31874227523804,0.315937101840973,6.31874227523804,0.315937101840973,9.00026512145996,0.005474335514009,0.0367099456489086,0.134975463151932,0.160722687840462,0.0136359045282006,0.00139203167054802,0.0331574454903603,0.0826717466115952
"10",10,0.172206163406372,0.431158483028412,17041.076171875,0.716657519340515,0,0,-2.00212118951315e-16,0.0989452227950096,0.154356077313423,0.0554109178483486,0.0293289329856634,42431052,799.932250976562,0,160.051513671875,42430896,0.169145479798317,0.153690055012703,16.4765186309814,NA,NA,0.0301030538976192,0.015236740000546,0.0199851486831903,0.0417898632586002,0.0461998693645,0.0158308055251837,13.8979625701904,0.761836886405945,0.594742000102997,1.04474687576294,0.131999641656876,0.0452308431267738,0.00478542363271117,0.111145839095116,0.0377587862312794,0.478542357683182,NA,NA,200,0,6.72105073928833,-101.504638671875,1.03616499900818,NA,6.76699447631836,0.338349908590317,6.76699447631836,0.338349908590317,10.0003309249878,0.00661465199664235,0.039596188813448,0.191215962171555,0.230054408311844,0.0206193663179874,0.00197920575737953,0.042155746370554,0.0688133090734482
